author,title,subtitle,language,categories,description,series,edition,firstPublishDate,published_year,characters,format,genres,isbn10,isbn13,asin,image_url,average_rating,awards,bbeScore,bbeVotes,best_sellers_rank,bookId,buybox_seller,isBestSeller,isEditorsPick,isGoodReadsChoice,likedPercent,numRatings,pages,product_dimensions,publisher,ratingsByStars,ratings_count,seller_name,setting,soldBy,weight
A.G. Howard (Goodreads Author),Untamed,,English,,"A post-Ensnared collection of three stories—available in both print and e-versions.Alyssa Gardner went down the rabbit hole and took control of her destiny. She survived the battle for Wonderland and the battle for her heart. In this collection of three novellas, join Alyssa and her family as they look back at their memories of Wonderland. In Six Impossible Things, Alyssa recalls the most precious moments of her life after Ensnared, and the role magic plays in preserving the happiness of those she loves. Alyssa’s mother reminisces about her own time in Wonderland and rescuing the man who would become her husband in The Boy in the Web. And Morpheus delves into Jeb’s memories of the events of Splintered in The Moth in the Mirror, available in print for the first time.This collection expands upon Ensnared's epilogue, and includes some deleted scenes to provide a “director’s cut” glimpse into the past and futures of our favorite Splintered characters.","Splintered #1.5, 3.5",,,December 15th 2015,[],ebook,"['Fantasy', 'Young Adult', 'Retellings', 'Romance', 'Fairy Tales', 'Magic', 'Short Stories', 'Paranormal', 'Fiction', 'Audiobook']",,9781613128794,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1432662500l/25105196._SY475_.jpg,4.13,[],166.0,2.0,,25105196-untamed,,,,,94.0,4886.0,288,,Amulet Books,"['2216', '1456', '915', '231', '68']",,,[],,
A.G. Howard (Goodreads Author),The Moth in the Mirror,,English,,"Morpheus wants to know more about his rival for Alyssa's affections, so he digs into Jeb's memories of his time in Wonderland. But he may be surprised by what he finds. This brand-new story and perspective from A.G. Howard's dark, magical world stands alone, but also provides a tantalizing glimpse of what's to come in Unhinged, the sequel to Splintered.",Splintered #1.5,,,October 22nd 2013,"['Morpheus', 'Jebediah ""Jeb"" Holt', 'Carpet Beetle', 'Gossamer', 'Rabid White', 'Lorina', 'Charlie Dodo']",Kindle Edition,"['Fantasy', 'Young Adult', 'Retellings', 'Romance', 'Short Stories', 'Novella', 'Magic', 'Paranormal', 'Fairy Tales', 'Fiction']",,B00FJ7NTP2,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1380589369l/18602075.jpg,3.97,[],97.0,1.0,,18602075-the-moth-in-the-mirror,,,,,93.0,5032.0,40,,Amulet Books,"['1835', '1600', '1242', '299', '56']",,,[],,
A.G. Howard (Goodreads Author),Ensnared,,English,,"After surviving a disastrous battle at prom, Alyssa has embraced her madness and gained perspective. She's determined to rescue her two worlds and the people and netherlings she loves. Even if it means challenging Queen Red to a final battle of wills and wiles . . . and even if the only way to Wonderland, now that the rabbit hole is closed, is through the looking-glass world--a parallel dimension filled with mutated and violent netherling outcasts. In the final installment of the wildly popular Splintered trilogy, Alyssa and her dad journey into the heart of magic and mayhem in search of her mom and to set right all that's gone wrong. Together with Jeb and Morpheus, they must salvage Wonderland from the decay and destruction that has ensnared it. But if they succeed and come out alive, can everyone truly have their happily ever after?",Splintered #3,,,January 6th 2015,"['Alyssa Victoria Gardner', 'Thomas Gardner', 'Carpet Beetle']",Kindle Edition,"['Fantasy', 'Young Adult', 'Romance', 'Retellings', 'Magic', 'Fairy Tales', 'Paranormal', 'Young Adult Fantasy', 'Adventure', 'Urban Fantasy']",,B00KLMGU6U,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1437455636l/22447220._SX318_.jpg,4.21,[],535.0,6.0,,22447220-ensnared,,,,,94.0,15680.0,420,,Amulet Books,"['7677', '4732', '2360', '671', '240']",,,"['London, England', 'AnyElsewhere']",,
A.G. Mogan (Goodreads Author),"The Secret Journals of Adolf Hitler, Volume 1: The Anointed",,English,,"Alternate Cover Edition of ASIN B075J5P1G7What happenings and environments wrought the most hated man in history? How does a child become a young man who evolved into a self-proclaimed messiah? Why did this one man become a psychotic who was responsible for the deaths of more than 50 million people?This book follows the first, formative years of Adolf Hitler’s life. Presented as a personal journal, this is a fact-supported re-telling of a desperate existence, as viewed by Hitler, and tracks the points of pain that forged his beliefs. From a childhood of abuse and cheating death to an agonizing unrequited love to torturous years as a beggar in Vienna to finally finding his destiny. Enflamed by delusions, Hitler embraced the powers he believed guided his life.This is a story of dire happenstances that broke a mind and spirit, created beliefs that twisted innocence, ultimately morphing into a malicious brew that changed the world forever.This is the one story that's never been told.",,,,September 19th 2017,[],Kindle Edition,['Historical Fiction'],,9999999999999,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1505170087l/35681611._SY475_.jpg,4.25,[],100.0,1.0,,35681611-the-secret-journals-of-adolf-hitler-volume-1,,,,,94.0,161.0,384,,,"['89', '40', '22', '4', '6']",,,[],,
A.G. Riddle (Goodreads Author),The Atlantis Gene,,English,,"The greatest mystery of all time...the history of human origins...will be revealed.In Antarctica, researchers discover a mysterious structure, buried in ice. In a lab in Jakarta, an autism researcher identifies a revolutionary treatment that could change everything.But these two incredible discoveries aren't what they seem. They will set off a race to unravel the deepest secrets of human existence--and an event that could change humanity forever.Experience the novel that started it all: The Atlantis Gene is the first book in A.G. Riddle's bestselling Origin Mystery trilogy--a series that has sold over THREE MILLION copies worldwide (in twenty languages). The trilogy is now in development to be a major motion picture.Filled with real science and history, The Atlantis Gene will forever change how you look at human history—and our future.Buy now and begin the journey millions of other readers have taken (note: Kindle Unlimited subscribers can also read for free).Praise for A.G. Riddle“...reads like a superior collaboration between Dan Brown and Michael Crichton.”—The Guardian on Pandemic“I finished the book fast because I just couldn’t wait...”—WIRED GeekDad on Departure“Riddle... keep(s) the focus on his characters... rather than the technological marvels”—Publisher’s Weekly on Departure“Well-constructed and tightly-wound as a fine Swiss watch—DEPARTURE has non-stop action, an engaging plot and, of course, wheels within wheels.”—Diana Gabaldon, #1 New York Times bestselling author of OutlanderAn Extended Look At The Atlantis Gene70,000 years ago, the human race almost went extinct.We survived, but no one knows how.Until now.The countdown to the next stage of human evolution is about to begin, and humanity might not survive this time.Off the coast of Antarctica, a research vessel discovers a mysterious structure buried deep within an iceberg. It has been there for thousands of years, and something is guarding it. Could it be the fabled city of Atlantis? Or is it something more dangerous?At the same moment, in Jakarta, Indonesia, a brilliant geneticist named Kate Warner has just discovered a breakthrough treatment for autism. Or so she thinks. What she has found is far more deadly—for her and for the entire human race. Her work could unleash the next stage of human evolution. It might also hold the key to unlocking the mysterious structure off the coast of Antarctica.On the other side of Jakarta, Agent David Vale is racing to uncover a conspiracy with far-reaching implications. But he’s out of time. His informant inside the conspiracy is dead. His own organization has been infiltrated—and his enemy has turned the hunt on him. Now he’s on the run. But when he receives a coded message related to an imminent attack, he risks everything to save the one person that can help him stop it: Dr. Kate Warner.Together, Kate and David race to unravel a global conspiracy and learn the truth about the Atlantis Gene... and human origins. Their journey takes them to the far corners of the globe and into the secrets of their pasts. Their enemy is close on their heels and will stop at nothing to obtain Kate’s research and force the next stage of human evolution—even if it means killing 99.9% of the world’s population. David and Kate can stop them... if they can trust each other. And stay alive.",The Origin Mystery #1,3.0.1.,03/27/13,July 2nd 2015,"['Kate Warner', 'David Vale']",Paperback,"['Science Fiction', 'Fiction', 'Thriller', 'Mystery', 'Fantasy', 'Audiobook', 'Adventure', 'Science Fiction Fantasy', 'Suspense', 'Mystery Thriller']",,9999999999999,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1435944019l/25843420._SY475_.jpg,3.73,[],188.0,2.0,,25843420-the-atlantis-gene,,,,,87.0,66392.0,464,,Riddle Inc.,"['17688', '24126', '16277', '5616', '2685']",,,[],,
A.G. Riddle (Goodreads Author),Winter World,,English,,"A new ice age... and a shocking discovery...will change humanity forever.In the near future, a new ice age has begun.Humanity stands on the brink of extinction.Desperate for answers, scientists send probes into the solar system to take readings. Near Mars, a probe spots a mysterious object drifting toward the Sun. Is it the cause of the ice age? Or could it be our only hope of survival?With time running out, NASA launches an international mission to make contact with the object. But it isn’t what anyone thought. In the dark of space, alone, the team makes a shocking discovery that will change the course of human history—and possibly end it.",The Long Winter #1,,,February 26th 2019,[],Kindle Edition,"['Science Fiction', 'Fiction', 'Thriller', 'Post Apocalyptic', 'Aliens', 'Apocalyptic', 'Dystopia', 'Audiobook', 'Science Fiction Fantasy', 'Space']",,B07N32K12H,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1548608348l/43720168._SY475_.jpg,4.09,[],274.0,3.0,,43720168-winter-world,,,,,92.0,17725.0,418,,Legion Books,"['7427', '6401', '2513', '820', '564']",,,[],,
A.G. Roemmers,O Regresso do Jovem Príncipe,,Portuguese,,"Na remota Patagónia, a quilómetros de qualquer povoado, um viajante encontra um rapaz adormecido à beira da estrada. Está estranhamente vestido, como um pequeno príncipe, esconde-se num manto azul. Perplexo, o viajante pega nele delicadamente. E, em cuidados, leva-o consigo. O menino só acordará mais tarde. Tem o cabelo loiro, da cor do trigo. E muitas perguntas para fazer. Aos poucos revela-se, fala de si, do seu pequeno planeta distante, de uma flor caprichosa que abandonou ao seu destino… e de um pequeno carneiro que aprisionou numa caixa de cartão, para que não fizesse mal à sua flor. O Regresso do Jovem Príncipe é uma história encantada, de A. G. Roemmers, o consagrado poeta Argentino. Ao evocar uma personagem mítica da literatura universal, o autor recupera, neste início de século, uma inocência que temos de preservar. E, ao mesmo tempo, procura responder às grandes questões com que o Homem se debate hoje.",,,11/05/08,October 2011,[],Paperback,"['Fiction', 'Fantasy', 'Contemporary', 'Young Adult', 'Literature', 'Philosophy', 'Novels', 'Classics', 'Magical Realism', 'Middle Grade']",,9789892316000,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546951449l/13107443.jpg,3.38,[],95.0,1.0,,13107443-o-regresso-do-jovem-pr-ncipe,,,,,77.0,1917.0,120,,Lua de Papel,"['398', '507', '576', '302', '134']",,,[],,
A.H. Anquetil-Duperron,"Zend-Avesta, Ouvrage De Zoroastre (Myth & romanticism)",,,,,,,10/30/84,June 1st 1984,[],Hardcover,[],,9780824035501,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1476320645l/611057._SX318_.jpg,5.0,[],96.0,1.0,,611057.Zend_Avesta_Ouvrage_De_Zoroastre,,,,,100.0,1.0,1904,,Taylor & Francis,[],,,[],,
A.H. Holt,Silver Creek,,English,,"Six years ago John Garrett left home, swearing he would never return. But his father is in trouble. Their neighbor, Tim Hostetter has been murdered. His riders are gone and Garrett cattle are grazing his range. One of Russ Blaine’s riders is killed, and another is wounded. Mason Garrett and Rafe Willis are pushing Blaine hard to sell Silver Creek. They need the water. Would Garrett kill to get it?Heading home, John shoots a bully in a desperately poor town and is wounded escaping the sheriff’s posse.Watching the hills for bushwhackers, Andrea Blaine finds John and helps him hide on the mountain. John joins Del Ketchum, cattleman turned deputy sheriff, to search for the real killers and try to clear his father’s name.",,,,April 1st 2003,[],Hardcover,['Historical Fiction'],,9780803496002,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1266612287l/3467451.jpg,4.32,[],95.0,1.0,,3467451-silver-creek,,,,,96.0,203.0,198,,AmazonEncore,"['111', '55', '29', '6', '2']",,,[],,
A.H. Holt,Kendrick,,English,,"Wayne Kendrick is suspicious. His best friend, Jim Carson, has suddenly disappeared, and Jim's claim has been taken over by The Blake Mining Company, which claims the land was abandoned.When Wayne meets with Jim's family, he finds the reason for his friend's sudden disappearance: he has been kidnapped! Reading a ransom note that Jim's family has discovered, Wayne promises he'll bring Jim home safely, aware even as he makes the oath that if his friend isn't dead already, he will be once the ransom has been paid.Wayne reasons that The Blake Mining Company has a part in Jim's disappearance and decides to spy on them. Disguising himself as a miner and buying space on Jim's land, he sets up his camp and begins his investigation. When Wayne befriends Davis, an abandoned African-American boy, he is led to a secret mine hidden within a mountain. Inside the mine, he is shocked to discover chained slaves forced to work the mine for their kidnappers.Risking both slavery and death, Wayne Kendrick faces off against the slavers to save both his friend's life and the lives of the other slaves.",,,,February 1st 2004,[],Hardcover,[],,9780803496507,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1374634945l/3591032.jpg,4.02,[],194.0,2.0,,3591032-kendrick,,,,,89.0,124.0,184,,AmazonEncore,"['54', '33', '23', '13', '1']",,,[],,
