title,subtitle,categories,description,series,edition,firstPublishDate,published_year,characters,format,isbn10,isbn13,asin,image_url,average_rating,awards,bbeScore,bbeVotes,isBestSeller,isEditorsPick,isGoodReadsChoice,likedPercent,numRatings,pages,publisher,ratingsByStars,ratings_count,setting,soldBy,author_list
"xxxHolic, Vol. 11",,"['Manga', 'Fantasy', 'Graphic Novels', 'Seinen', 'Comics', 'Supernatural', 'Fiction', 'Comics Manga', 'Mystery', 'Young Adult']","Kimihiro Watanuki has been saved from death by the sacrifices of his friends, but his recovery time is cut short. His special connection with the spirit world is needed to investigate a terrifying haunted house, placate annoyed Warashi spirits, and face the growing threat of a shadowy figure called Fei-Wang Reed.

Includes chapters 65-72",xxxHOLiC #11,,2007,March 4th 2008,"['Kimihiro Watanuki', 'Yuko Ichihara']",Paperback,,9780345501639,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388452806l/1188297.jpg,4.38,[],14.0,1.0,,,,98.0,1983.0,185,Del Rey Books,"['1059', '655', '231', '31', '7']",,[],,"['CLAMP', 'William Flanagan']"
X-Men: The Dark Phoenix Saga,,"['Comics', 'Graphic Novels', 'Marvel', 'X Men', 'Graphic Novels Comics', 'Comic Book', 'Fiction', 'Superheroes', 'Science Fiction', 'Fantasy']","Gathered together by Professor Charles Xavier to protect a world that fears and hates them, the X-Men had fought many battles, been on adventures that spanned galaxies, grappled enemies of limitless might, but none of this could prepare them for the most shocking struggle they would ever face. One of their own members, Jean Grey, has gained power beyond all comprehension, and that power has corrupted her absolutely Now they must decide if the life of the woman they cherish is worth the existence of the entire universe.Collects X-Men #129-137.",Uncanny X-Men (1963) #129-137,Uncanny X-Men,10/30/83,April 5th 2006,"['Kitty Pryde', 'Scott Summers', 'Wolverine', 'Alison Blaire', 'Kurt Wagner', 'Benjamin Jacob Grimm', 'Reed Richards', 'Doctor Strange', 'Norrin Radd', 'Warren Worthington III', 'Sean Cassidy (Marvel)', 'Uatu the Watcher', 'Lilandra Neramani', 'Hank McCoy', 'Edwin Jarvis', 'Sebastian Shaw', 'Moira MacTaggert', 'Piotr Rasputin', 'Ororo Munroe', 'Professor Charles Xavier', 'Emma Frost', 'Jean Grey', 'Peter Parker', 'Donald Pierce', 'Harry Leland', 'Jason Wyngarde', 'Robert Edward Kelly', 'Peter Corbeau']",Paperback,,9780785122135,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1409504820l/103111.jpg,4.24,[],169.0,2.0,,,,96.0,15355.0,200,Marvel Comics,"['7335', '5092', '2348', '457', '123']",,[],,"['Chris Claremont', 'John Byrne', 'Terry Kevin Austin', 'Glynis Wein']"
X-Men: Days of Future Past,,"['Comics', 'Graphic Novels', 'Marvel', 'X Men', 'Comic Book', 'Fiction', 'Graphic Novels Comics', 'Superheroes', 'Science Fiction', 'Fantasy']","Relive the legendary first journey into the dystopian future of 2013 where Sentinels stalk the Earth and the X-Men are humanity's only hope... until they die! Also featuring the first apperance of Alpha Flight, the return of the Wendigo, the history of Cyclops... and a demon for Christmas!?","Uncanny X-Men (1963) #138-143, Annual #4",,10/29/81,June 7th 2006,"['Kitty Pryde', 'Scott Summers', 'Wolverine', 'Doctor Victor von Doom', 'Kurt Wagner', 'Magneto', 'Benjamin Jacob Grimm', 'Mystique', 'Reed Richards', 'Susan Storm Richards', 'Doctor Strange', 'Steve Rogers', 'Hank McCoy', 'Bobby Drake', 'Johnny Storm', 'Cain Marko', 'Sebastian Shaw', 'Piotr Rasputin', 'Ororo Munroe', 'Bruce Banner', 'Pietro Maximoff', 'Tony Stark', 'Professor Charles Xavier', 'Jean Grey', 'Peter Parker', 'Robert Edward Kelly', 'Wanda Maximoff']",Paperback,,9780785115601,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1223347346l/306608.jpg,4.14,[],182.0,2.0,,,,95.0,11802.0,184,Marvel,"['4929', '4150', '2191', '454', '78']",,[],,"['Chris Claremont', 'John Byrne', 'Terry Kevin Austin', 'Glynis Wein']"
"X-Men: God Loves, Man Kills",,"['Comics', 'Graphic Novels', 'Marvel', 'X Men', 'Comic Book', 'Superheroes', 'Fiction', 'Graphic Novels Comics', 'Science Fiction', 'Comics Manga']","The uncanny X-Men, Magneto, master of magnetism. The bitterest of enemies for years. But now they must join forces against a new adversary who threatens them all and the entire world besides - in the name of God.",Marvel Graphic Novel #5,,01/06/82,December 5th 2007,[],Hardcover,,9780785127611,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1306704626l/1419796.jpg,4.14,[],87.0,1.0,,,,92.0,17902.0,96,Marvel,"['8700', '5132', '2637', '797', '636']",,[],,"['Chris Claremont', 'Brent Anderson']"
"XXL-Leseprobe - Weil ich Layken liebe (Slammed, #1)",,['Romance'],"Nach dem Unfalltod ihres Vaters zieht die 18-jährige Layken mit ihrer Mutter und ihrem Bruder von Texas nach Michigan. Nie hätte Layken gedacht, dass sie sich dort bereits am ersten Tag Hals über Kopf verliebt. Und dass diese Liebe mit derselben Intensität erwidert wird. Es sind die ganz großen Gefühle zwischen Layken und Will. Das ganz große Glück – drei Tage lang. Denn dann stellt das Leben sich ihrer Liebe mit aller Macht in den Weg…80 Seiten XXL-Leseprobe des New-York-Times-Bestsellers",,,,September 12th 2013,[],Kindle Edition,,B00EV0NQOC,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386018729l/19105066.jpg,4.38,[],91.0,1.0,,,,96.0,178.0,60,Deutscher Taschenbuch Verlag,"['108', '42', '20', '3', '5']",,[],,"['Colleen Hoover', 'Katarina Ganslandt']"
X-Men,New Worlds,,,,,,2003.0,,,1904159087,9781904159087,,http://books.google.com/books/content?id=buB9NwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.85,,,,,,,,,160.0,,,2.0,,,"['Grant Morrison', 'Igor Kordey', 'Ethan van Scriver']"
X,,"['Historical Fiction', 'Young Adult', 'Fiction', 'Historical', 'African American', 'Teen', 'Cultural', 'Audiobook', 'Race', 'Coming Of Age']","Winner of the 2016 NAACP Image Award for Outstanding Literary Work for Youth/TeensA 2016 Coretta Scott King Author Honor BookCowritten by Malcolm X’s daughter, this riveting and revealing novel follows the formative years of the man whose words and actions shook the world.Malcolm Little’s parents have always told him that he can achieve anything, but from what he can tell, that’s a pack of lies—after all, his father’s been murdered, his mother’s been taken away, and his dreams of becoming a lawyer have gotten him laughed out of school. There’s no point in trying, he figures, and lured by the nightlife of Boston and New York, he escapes into a world of fancy suits, jazz, girls, and reefer. But Malcolm’s efforts to leave the past behind lead him into increasingly dangerous territory. Deep down, he knows that the freedom he’s found is only an illusion—and that he can’t run forever.X follows Malcolm from his childhood to his imprisonment for theft at age twenty, when he found the faith that would lead him to forge a new path and command a voice that still resonates today.",,,January 6th 2015,August 2nd 2016,['Malcolm Little'],Paperback,,9780763690922,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1457891717l/28814866.jpg,3.89,"[""National Book Award Nominee for Young People's Literature (2015)"", 'Rhode Island Teen Book Award Nominee (2018)', 'Coretta Scott King Book Award Nominee for Author Honor (2016)', 'Walter Dean Myers Award Nominee for Honor Book (2016)']",15.0,1.0,,,,94.0,2614.0,384,Candlewick Press,"['689', '1126', '652', '113', '34']",,"['Lansing, Michigan (United States)', 'Boston, Massachusetts (United States)', 'Harlem, New York City, New York (United States)']",,"['Ilyasah Shabazz', 'Kekla Magoon']"
Xenocide,Volume Three of the Ender Quintet,Fiction,"The war for survival of the planet Lusitania will be fought in the heart of a child named Gloriously Bright. On Lusitania, Ender found a world where humans and pequininos and the Hive Queen could all live together; where three very different intelligent species could find common ground at last. Or so he thought. Lusitania also harbors the descolada, a virus that kills all humans it infects, but which the pequininos require in order to become adults. The Startways Congress so fears the effects of the descolada, should it escape from Lusitania, that they have ordered the destruction of the entire planet, and all who live there. The Fleet is on its way, a second xenocide seems inevitable. Xenocide is the third novel in Orson Scott Card's Ender Quintet.",,,,1996.0,,,0312861877,9780312861872,,http://books.google.com/books/content?id=T2AfTwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.79,,,,,,,,,592.0,,,115661.0,,,['Orson Scott Card']
Xenocide,,"['Science Fiction', 'Fiction', 'Fantasy', 'Science Fiction Fantasy', 'Young Adult', 'Audiobook', 'Aliens', 'Space', 'Novels', 'Space Opera']","The war for survival of the planet Lusitania will be fought in the hearts of a child named Gloriously Bright.On Lusitania, Ender found a world where humans and pequininos and the Hive Queen could all live together; where three very different intelligent species could find common ground at last. Or so he thought.Lusitania also harbors the descolada, a virus that kills all humans it infects, but which the pequininos require in order to become adults. The Starways Congress so fears the effects of the descolada, should it escape from Lusitania, that they have ordered the destruction of the entire planet, and all who live there. The Fleet is on its way, and a second xenocide seems inevitable.",Ender's Saga #3,,07/01/91,July 15th 1996,"['Jane Whitefield', 'Valentine Wiggin', 'Peter Wiggin', 'Andrew Wiggin', 'Miro Ribeira', 'Han Qin-jao', 'Si Wang-mu']",Mass Market Paperback,,9780312861872,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386924577l/8648.jpg,3.8,"['Hugo Award Nominee for Best novel (1992)', 'Locus Award Nominee for Best Science Fiction Novel  (1992)', 'Prix Cosmos 2000 (1994)']",2771.0,38.0,,,,91.0,140957.0,592,Tor Books,"['37217', '52453', '38977', '9880', '2430']",,['Lusitania'],,"['Orson Scott Card', 'Piotr W. Cholewa']"
Xanth: The Quest for Magic,,"['Fantasy', 'Fiction', 'Science Fiction Fantasy', 'Humor', 'Science Fiction', 'Magic', 'Comedy', 'Adult', 'Young Adult', 'High Fantasy']","Twenty-five years ago, Piers Anthony fascinated us with the creation of Xanth–a wondrous land where magic rules supreme. Since then, the dazzling world of Xanth has delighted millions of readers. Now, here are the first three novels of this classic series to enthrall a whole new generation. . . .A SPELL FOR CHAMELEONWinner of the British Fantasy Award for Best Novel of the YearThough every citizen of Xanth has a special spell only he or she can cast, Bink of North Village has no magic. But the Good Magician Humphrey and Beauregard the genie insist that Bink indeed is capable of enchantment– magic more powerful than the King himself, or even the evil magician Trent. Now if only Bink can find his magic . . . before he is forced into exile.THE SOURCE OF MAGICCurious about the source of Xanth’s magic, the King sends Bink on a daring quest for truth. From the beginning, Bink and his companions are harried by an unseen creature determined to thwart them. But when some allies become enemies, it will take all Bink’s ingenuity and luck to prevail on his mission, which takes an unexpectedly defiant turn.CASTLE ROOGNAMillie had been a ghost for eight hundred years. But now, restored by the magic of Xanth, she is again a beautiful living woman. She can have any man she desires . . . except one: Jonathan the zombie. To help Millie, young Magician Dor embarks on a journey for the elixir that will restore Jonathan to full life–an adventure that will take him to the past, where his intentions are thwarted by a surprising encounter.
  Discover a magical world of dazzling imagination!
",Xanth #1-3,,January 1st 1979,October 29th 2002,[],Paperback,,9780345453280,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387709137l/15501.jpg,4.06,[],8.0,1.0,,,,95.0,5199.0,784,Del Rey,"['2107', '1641', '1178', '218', '55']",,[],,['Piers Anthony']
Xanth 15: The Color of Her Panties,,Fiction,"We See England, We See Xanth, We See Mels's Underpanth In fact, Gwenny Goblin, Che Centaur and Jenny Elf are just about the only creatures on Xanth who have been spared the sight of Mela Merwoman's undergarment -- preoccupied as they are with helping Gwenny beat out her awful half-brother Gobble for chiefship of the goblin horde. But first they must master space and thyme . . . and find the fabulous egg that sits between the Roc and the hard place. While Mela -- who would gladly relinquish her oft-viewed undies for a new husband -- joins the Adult Conspiracy . . . and quickly discovers the power of a perfect pair of panties!",,,,1992.0,,,0380759497,9780380759491,,http://books.google.com/books/content?id=4LaUaPoHbpoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.67,,,,,,,,,342.0,,,7250.0,,,"['Piers Anthony', 'Piers A. Jacob']"
X-Men: Misfits,,"['Manga', 'Graphic Novels', 'Comics', 'Young Adult', 'Fiction', 'Fantasy', 'Superheroes', 'Romance', 'X Men', 'Science Fiction']","THE X-MEN GET A RADICAL NEW REMIX IN A STORY ABOUT TEEN ANGST, FIRST LOVE, AND WHAT IT’S LIKE TO BE ON THE OUTSIDE LOOKING INHigh school student Kitty Pryde has always been the odd girl out. A mutant, she was born with strange superpowers, magical talents that make her the class freak. But Kitty’s world is changed when she’s invited to study at Professor Xavier’s School for Gifted Youngsters, a special home for mutant teens. There’s just one catch: Kitty’s the only girl at the all-boy school, and she ends up just feeling like a freak all over again.Then Kitty meets Pyro and the ultra-hot bad boys of the Hellfire Club. They’re the school’s elite–handsome, rich, and totally above the rules. Now Kitty seems to have it all: a dreamy boyfriend, super-cool friends, and the chance to develop her extraordinary talents. But why is her heart telling her that something is wrong? Will Kitty ever find the place where she belongs, or is she doomed to be a misfit forever?",,First Edition,07/10/09,August 11th 2009,[],Paperback,,9780345505149,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388459762l/6393630.jpg,3.67,[],91.0,1.0,,,,80.0,755.0,192,Del Rey,"['284', '158', '164', '76', '73']",,[],,"['Raina Telgemeier', 'Dave Roman', 'Anzu']"
X-Men: The Legacy Quest Trilogy: Book 1,,"['Science Fiction', 'X Men', 'Fiction', 'Superheroes', 'Comics', 'Marvel', 'Fantasy']","Hank McCoy -- the X-Men's Beast -- made himself a guinea pig in a desperate attempt to find a cure for the deadly Legacy Virus. His gamble succeeded. Now his blood is a living serum that can save countless lives. Unfortunately, the Beast is also a prisoner of Selene, the dread Black Queen of the New York branch of the Hellfire Club and she is literally bleeding him dry in order to further her own mad quest for power and wealth. The X-Men, and their uneasy ally, Sebastian Shaw, the mutant Black King of the Hong Kong branch of the Hellfire Club, are locked in a race against time to defeat Selene and free the Beast. But to their shock, they have discovered that Selene has found a way to turn time itself into a weapon against them. Meanwhile, Sebastian Shaw and the mysterious menace known as Mutant X, pursue a different agenda -- one that if it succeeds, will place the Legacy Virus serum in the hands of the most dangerous mutant in the world!",,,11/05/02,June 1st 2002,[],Paperback,,9780743444682,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1170961673l/78874.jpg,3.67,[],74.0,1.0,,,,87.0,95.0,368,iBooks,"['24', '32', '27', '8', '4']",,[],,"['Steve Lyons', 'Jordan Raskin']"
Xombies,,"['Zombies', 'Horror', 'Fiction', 'Science Fiction', 'Apocalyptic', 'Post Apocalyptic', 'Fantasy', 'Dystopia', 'Adventure', 'Thriller']","WARNING: ""This is the Emergency Broadcast Network. The epidemic known as Agent X has contaminated all but the most isolated pockets of the country. A state of martial law has been declared. Stay inside. Barricade all windows. Lock all doors. The infected are considered to be psychotic and extremely dangerous. Trust no one. This is not a test.""Agent X is unlike anything modern science has seen before -- a fast-spreading virus that turns the infected into raving maniacs on the hunt for earth's few remaining survivors...One of those survivors is Lulu, a seventeen-year-old girl spared by a rare medical condition. Immune to Agent X, and witness to her own mother's bestial degeneration, Lulu is on the run for the frozen north, the last place on earth rumored to be safe. But what's awaiting her is as unexpected, and as frightening, as what's followed her there...",Xombies #1,,02/23/04,August 3rd 2004,[],Mass Market Paperback,,9780425197448,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388209268l/196783.jpg,3.47,[],100.0,1.0,,,,77.0,1474.0,346,Berkley,"['406', '358', '374', '195', '141']",,[],,['Walter Greatshell']
Xanathar's Guide to Everything (Dungeons & Dragons),,"[""Books"",""Literature & Fiction"",""Action & Adventure""]",,,,,,,,078696611,,0786966114,"https://images-na.ssl-images-amazon.com/images/I/61ELLOaoSZL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg",4.9 out of 5 stars,,,,,,,,,,,,,,bellwetherbooks,['Wizards RPG Team']
