author,title,subtitle,language,categories,description,series,edition,firstPublishDate,published_year,characters,format,genres,isbn10,isbn13,asin,image_url,average_rating,awards,bbeScore,bbeVotes,best_sellers_rank,bookId,buybox_seller,isBestSeller,isEditorsPick,isGoodReadsChoice,likedPercent,numRatings,pages,product_dimensions,publisher,ratingsByStars,ratings_count,seller_name,setting,soldBy,weight
Idries Shah,The Lion Who Saw Himself in the Water,,English,,"As he gapes and growls at his ferocious reflection in a pool of water as shiny as a mirror, a terrified lion grows desperately thirsty.",,,September 1st 1998,August 1st 2001,[],Paperback,['Picture Books'],,9781883536251,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1358738156l/1254023.jpg,4.04,[],38.0,1.0,,1254023.The_Lion_Who_Saw_Himself_in_the_Water,,,,,86.0,57.0,36,,Hoopoe Books,"['27', '15', '7', '6', '2']",,,[],,
Idries Shah,The Farmer's Wife,,English,,"The story of The Farmer's Wife tells how a woman first loses an apple in a hole in the ground, and then attempts a series of efforts to get it back. Children enjoy learning to repeat the sequence from memory, and when the story takes a sudden turn, contrary to all expectations, they also learn important lessons on how to resolve problems creatively.The strikingly beautiful illustrations by Rose Mary Santiago invoke the origins of the story -- this traditional story has been told for hundreds of years in the Middle East and Central Asia -- while at the same time lending a uniquely playful atmosphere to this very amusing story.",,,09/01/98,June 1st 2005,[],Paperback,"['Childrens', 'Fiction']",,9781883536497,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348543615l/888674.jpg,4.1,[],48.0,1.0,,888674.The_Farmer_s_Wife,,,,,90.0,71.0,32,,Hoopoe Books,"['33', '20', '11', '6', '1']",,,[],,
Idries Shah,The Silly Chicken,,English,,"A Sufi teaching tale of a chicken that has learned to speak as people do and spreads an alarming warning, which causes the townspeople to panic without first considering the messenger.",,,September 1st 1998,June 1st 2005,[],Paperback,"['Picture Books', 'Islam']",,9781883536503,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348544526l/562989.jpg,3.95,[],46.0,1.0,,562989.The_Silly_Chicken,,,,,91.0,58.0,32,,Hoopoe Books,"['23', '15', '15', '4', '1']",,,[],,
Idries Shah,Neem the Half-Boy,,English,,"Because the queen of Hich-Hich fails to follow the precise instructions given to her by Arif the wise nan, she gives birth to a half-boy. This unusual and memorable tale about an incomplete boy will fascinate young readers and will encourage them to think about just what it means to be ""a complete person."" That Neem is able to make himself complete by an act of cleverness, negotiation, and compromise teaches children more than the expected, usual lesson of bravery. This enchanting tale of Prince Neem, the king and queen of Hich-Hich, Arif the wise man, fairies and a fire-breathing dragon is marvelously and magically illustrated by Midori Mori and Robert Revels. Ages 3-8",,,September 1st 1998,April 1st 2007,[],Paperback,[],,9781883536954,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348611503l/1965727.jpg,4.15,[],29.0,1.0,,1965727.Neem_the_Half_Boy,,,,,94.0,34.0,32,,Hoopoe Books,"['18', '6', '8', '1', '1']",,,[],,
Idries Shah,Caravan of Dreams,,,,"Caravan of Dreams distills the essence of Eastern thought in a feast of stories, sayings, poems and allegories, collected by one of the world's leading experts in Oriental philosophy. Idries Shah builds up a complete picture of a single consciousness, relating mythology to reality, illuminating historical patterns, and presenting philosophical legends in this unique anthology. Its title is inspired from the couplet written by the Sufi mystic Bahaudin: 'Here we are, all of us: in a dream-caravan, A caravan, but a dream - a dream, but a caravan. And we know which are the dreams. Therein lies the hope.'",,,11/06/68,1988 ,[],Paperback,"['Philosophy', 'Fiction', 'Spirituality', 'Religion', 'Islam', 'Short Stories', 'Mysticism']",,9999999999999,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1319615134l/1889980.jpg,4.22,[],64.0,1.0,,1889980.Caravan_of_Dreams,,,,,93.0,327.0,,,,"['166', '95', '43', '17', '6']",,,[],,
"Idries Shah, Doris Lessing (Introduction)",Learning How to Learn: Psychology and Spirituality in the Sufi Way,,English,,"In response to the many inquiries he has received about the Sufi tradition, leading Sufi expert Idries Shah presents a clarifying series of questions and answers that illustrates how traditional Sufi concepts can resolve our social, psychological, and spiritual problems. This is the ideal introduction to Sufi wisdom.",,,11/06/78,September 1st 1996,[],Paperback,"['Spirituality', 'Islam', 'Psychology', 'Philosophy', 'Nonfiction', 'Religion']",,9780140195132,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348301437l/181256.jpg,4.39,[],63.0,1.0,,181256.Learning_How_to_Learn,,,,,95.0,287.0,320,,Penguin Books,"['171', '75', '27', '9', '5']",,,[],,
"Idries Shah, LeCain (Illustrations)",The Pleasantries of the Incredible Mulla Nasrudin,,English,,"Today we find him in a high-level physics report, illustrating phenomena that can't be described in ordinary technical terms. He appears in psychology textbooks, illuminating the workings of the mind in a way no straightforward explanation can. In three definitive volumes (The Exploits of the Incomparable Mulla Nasrudin, The Pleasantries of the Incredible Mulla Nasrudin and The Subtleties of the Inimitable Mulla Nasrudin) Idries Shah takes us to the very heart of this mysterious mentor, the Mulla Nasrudin. Skillful contemporary retellings of hundreds of collected stories and sayings bring the unmistakable--often backhanded--wisdom, wit and charm of the timeless jokester to life. The Mulla and his stories appear in literature and oral traditions from the Middle East to Greece, Russia, France--even China. Many nations claim Nasrudin as a native son, but nobody really knows who he was or where he came from. According to a legend dating from at least the 13th century, Nasrudin was snatched as a schoolboy from the clutches of the ""Old Villain""--the crude system of thought that ensnares man--to carry through the ages the message of how to escape. He was chosen because he could make people laugh, and humor has a way of slipping through the cracks of the most rigid thinking habits. Acclaimed as humorous masterpieces, as collections of the finest jokes, as priceless gift books, and for hundreds ""enchanted tales,"" this folklore figure's antics have also been divined as ""mirroring the antics of the mind."" The jokes are, as Idries Shah notes, ""perfectly designed models for isolating and holding distortions of the mind which so often pass for reasonable behavior."" Therefore they have a double use: when the jokes have been enjoyed, their psychological significance starts to sink in. In fact, for many centuries they have been studied in Sufi circles for their hidden wisdom. They are used as teaching exercises, in part to momentarily ""freeze"" situations in which states of mind can be recognized. The key to the philosophic significance of the Nasrudin jokes is given in Idries Shah's book The Sufis and a complete system of mystical training based upon them was described in the Hibbert Journal. In these delightful volumes, Shah not only gives the Mulla a proper vehicle for our times, he proves that the centuries-old stories and quips of Nasrudin are still some of the funniest jokes in the world.",Mulla Nasrudin,,11/29/68,July 1st 1993,['Goha'],Paperback,"['Philosophy', 'Religion', 'Fiction', 'Spirituality', 'Humor', 'Islam', 'Comedy', 'Folk Tales', 'Short Stories', 'Literature']",,9780140193572,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348021570l/530425.jpg,4.36,[],228.0,3.0,,530425.The_Pleasantries_of_the_Incredible_Mulla_Nasrudin,,,,,97.0,486.0,224,,Penguin Books,"['275', '134', '62', '6', '9']",,,[],,
"Idries Shah, Louis Marin",Oriental Magic,,English,,"Does there lie in mankind's remote past a single origin for the beliefs and practices of magic found in nearly every culture in the world? Behind the distortions and grotesqueries of magical practices, could there be clues to processes worthy of our objective consideration? First published nearly forty years ago, ""Oriental Magic"" is still the definitive work on the subject. Its publication was the culmination of five years of research into rare artifacts, obscure manuscripts and travels into remote areas where strange magical practices endure. The ""Singing Sands"" of Egypt, the invisible rulership of Sufism, subcutaneous electricity, and the prehistoric sources of Babylonian occult practices are just a few of the intriguing subjects described. The author includes personal accounts of ""training"" under a Ju-Ju witch doctor, a demonstration of Hindu levitation, and translations of secret alchemical and magical formulae. Revealed is an astonishing similarity in magical beliefs, practices and terminology of places as diverse as China, the Near East, Scandinavia and Africa. ""Oriental Magic"" includes a myriad of illustrations, including unique photos of places and people associated with the mysterious world of magic. Only an author of Shah's experience, dedication, and knowledge of human nature could assemble such an array of arcane information into a dazzling picture of human beliefs and practices. This new release is sure to attract the attention of a new generation of interested readers.",,,11/06/56,May 1st 1993,[],Hardcover,"['Occult', 'Magic', 'Esoterica', 'Islam', 'Mythology', 'Alchemy', 'Nonfiction']",,9780863040177,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1182280762l/1254022._SX318_.jpg,4.22,[],47.0,1.0,,1254022.Oriental_Magic,,,,,96.0,97.0,,,"Octagon Press, Limited","['50', '24', '19', '2', '2']",,,[],,
"Idries Shah, Natasha Delmar (Illustrator)",The Old Woman and the Eagle,,English,,"It wasn't very long ago that few Americans even knew where Afghanistan was, much less had any interest in its culture or those of its Central Asian neighbors. While things have changed in that regard, there are still precious few children's books in our country having to do with that part of the world.This lack makes Hoopoe s award-winning series all the more compelling. These enchanting and beautifully illustrated books, which have delighted children, parents and educators since 1998, are based on traditional stories from Afghanistan, Central Asia and the Middle east, collected and written for children by Afghan author Idries Shah.The latest in this series, THE OLD WOMAN AND THE EAGLE will not disappoint. Superbly illustrated by Natasha Delmar, daughter of the celebrated classic Chinese painter Ng Yi-Ching, and intended for children ages 3-8, it tells with gentle humor what happens when an old woman encounters an eagle for the first time. Perplexed by its unfamiliar appearance, she decides to change it to suit her own ideas of what a bird should look like. Her efforts which much to the poor eagle s chagrin, include straightening its beak, trimming its claws and smoothing its feathers mirror a common pattern of human thought: altering the unfamiliar to make it acceptable.This book, like the previous seven in Hoopoe s series, does more than entertain. It encourages children to think for themselves and helps foster greater insight and mental flexibility in people of all ages. In the process, it also teaches us something about an important but little-known culture. Few Americans realize that, prior to the Soviet invasion and subsequent chaos in that country, Afghanistan was a major cultural crossroads, a place where many races lived alongside each other in harmony and where a rich, diverse culture developed over many centuries. THE OLD WOMAN AND THE EAGLE like its fellow Hoopoe titles provides a beautiful and positive representation of that culture when we need it most. The exquisite illustrations offer a taste of the dress, geography and art of the region. Children delight in the story as they have done for more than a thousand years. At this difficult time, this book can help children get a better understanding of a very important part of the world, what we have in common, and what we can learn from each other.About the AuthorIdries Shah, who died in 1996, spent over 30 years collecting stories from the Sufi tradition and adapting them to contemporary Western culture. His more than three dozen books have been translated into 12 languages. A practical philosophy with deep roots in Afghanistan, Sufism is sometimes mislabeled Islamic mysticism in the West because it is widespread in Moslem countries, although it is not tied to any religion and has included members of all faiths.Natasha Delmar was born in Hong Kong and raised in Argentina. Now she lives and works in the Bay Area. Natasha learned to paint from her father, the celebrated classic Chinese painter Ng Yi-Ching. This is her first book.",,,April 1st 2003,June 1st 2005,[],Paperback,"['Picture Books', 'Childrens']",,9781883536282,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348503530l/224499.jpg,3.83,[],40.0,1.0,,224499.The_Old_Woman_and_the_Eagle,,,,,89.0,47.0,32,,Hoopoe Books,"['19', '8', '15', '3', '2']",,,[],,
"Idries Shah, Natasha Delmar (Illustrator)",Fatima the Spinner and the Tent,,English,,"When a series of misfortunes finally bring her to China where she is asked to make a tent for the Emperor, Fatima comes to realize the value of all her past experiences in helping her forge a new and happier life.",,,,March 1st 2006,[],Hardcover,"['Picture Books', 'Islam', 'Fiction', 'Childrens']",,9781883536428,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1339510351l/615686.jpg,4.39,[],60.0,2.0,,615686.Fatima_the_Spinner_and_the_Tent,,,,,97.0,67.0,32,,Hoopoe Books,"['40', '15', '10', '2', '0']",,,['Turkey'],,
"Idries Shah, Robert Graves (Introduction)",The Sufis,,English,,"Idries Shah's definitive work, The Sufis, completely overturned Western misconceptions of Sufism, revealing a great spiritual and psychological tradition encompassing many of the world's greatest thinkers: Rumi, Omar Khayyam, Ibn El-Arabi, Al-Ghazzali, Saadi, Attar, Francis of Assisi and many others.The astonishing impact of Sufism on the development of Western civilization from the seventh century is traced through the work of Roger Bacon, John of the Cross, Raymond Lully, Chaucer and others. Many of the greatest traditions, ideas and discoveries of the West are traced to the teachings and writings of Sufi masters working centuries ago.But The Sufis is far more than an historical account.In the tradition of the great Sufi classics, the deeper appeal of this remarkable book is in its ability to function as an active instrument of instruction, in a way that is so clearly relevant to our time and culture.",,1st edition,10/28/64,February 5th 1971,[],Paperback,"['Religion', 'Islam', 'Nonfiction', 'Spirituality', 'Philosophy', 'History', 'Mysticism', 'Psychology', 'Unfinished', 'Eastern Philosophy']",,9780385079662,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1357233900l/450553.jpg,4.21,[],372.0,4.0,,450553.The_Sufis,,,,,94.0,940.0,451,,Anchor,"['458', '292', '136', '39', '15']",,,[],,
"Idries Shah, Rose Mary Santiago (Illustrator), Rita Wirkala (Goodreads Author) (Translator)",The Man with Bad Manners,,English,,"This story is about a badly behaved man and how a young boy initiates a plan to change his behavior and, with the help of all the villagers, succeeds. It will bring laughter to young children and at the same time teach them valuable lessons about conflict resolution, initiative and cooperation. Rose Mary Santiago's illustrations provide delightful and amusing counterpoint to the story. This is the third book she has illustrated in this series.",,,November 1st 2003,September 1st 2006,[],Paperback,[],,9781883536855,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348596475l/224521.jpg,3.97,[],43.0,1.0,,224521.The_Man_with_Bad_Manners,,,,,89.0,37.0,32,,Hoopoe Books,"['17', '7', '9', '3', '1']",,,[],,
"Idries Shah, Rumi (Contributor)",The Way of the Sufi,,English,,"In this wide-ranging anthology of Sufi writings, Idries Shah, who was one of Sufism's leading exponents, offers a broad selection of poetry, contemplations, letters, lectures, and teaching stories that together form an illuminating introduction to this unique body of thought. Sufism, the mystical aspect of Islam, has had a dynamic and lasting effect on the literature of that religion. Its teachings, often elusive and subtle, aim at the perfecting and completing of the human mind. In contrast to certain other beliefs and philosophies, Sufism is continually evolving and progressing and is consequently always relevant to the contemporary world.  ""His work is as exciting as a good novel""--The Times Literary Supplement",,,11/06/68,September 1st 1991,[],Paperback,"['Religion', 'Islam', 'Philosophy', 'Spirituality', 'Nonfiction', 'History', 'Poetry', 'Mysticism', 'Essays', 'Theology']",,9780140192520,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347742638l/914743.jpg,4.15,[],68.0,1.0,,914743.The_Way_of_the_Sufi,,,,,94.0,658.0,320,,Penguin Books,"['309', '192', '117', '28', '12']",,,[],,
"Idries Shah, Sally Mallam (Illustrator)",The Man and the Fox,,,,"A man tricks a young fox into believing he will give him a chicken. However, the fox gets trapped, but through his ingenuity and perseverance he manages to escape. This story can inspire children to face challenges and to overcome and, sometimes, make use of obstacles in their path.",,,September 1st 2005,March 1st 2006,[],Hardcover,[],,9781883536435,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348533788l/3215066.jpg,4.23,[],11.0,1.0,,3215066-the-man-and-the-fox,,,,,95.0,22.0,32,,Hoopoe Books,"['11', '6', '4', '1', '0']",,,[],,
Ignacio Manuel Altamirano,Clemencia,,Spanish,,"Sin duda alguna, Clemencia es la mejor novela de Ignacio M. Altamirano, gracias a su maestría narrativa, que por medio de un estilo sencillo y sobrio mantiene al lector en suspenso hasta el desenlace, mientras va enriqueciendo el relato con detalladas descripciones de lugares y costumbres.Clemencia es una historia sentimental en la que se plantea la diferencia entre el bien y el mal, los conflictos del hombre causados por la carne y el espíritu, en cuya trama avanza paralelo el contexto político y social de ese tiempo.En esta novela, Altamirano analiza con precisión la psicología de sus personajes, demostrando lo poco que ha evolucionado la naturaleza del ser humano, siempre envuelto enla ambición de poder y fortuna, viviendo los mismos dramas de amor, dentro de una sociedad que despreciaba al indio de igual manera como lo siguen haciendo muchas personas en nuestros días.Clemencia es una obra de romanticismo puramente mexicano que funde con sabiduría, el arte de escribir con el momento histórico de un país.",,,10/30/69,January 1998,[],Paperback,"['Romance', 'Fiction', 'Historical Fiction', 'Literature', 'Classics', 'Novels', 'Spanish Literature']",,9999999999999,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1312002876l/1788325.jpg,3.99,[],96.0,1.0,,1788325.Clemencia,,,,,94.0,1242.0,221,,Grupo Editorial tomo,"['437', '432', '298', '69', '6']",,,['Mexico'],,
