title,subtitle,categories,description,series,edition,firstPublishDate,published_year,characters,format,isbn10,isbn13,asin,image_url,average_rating,awards,bbeScore,bbeVotes,isBestSeller,isEditorsPick,isGoodReadsChoice,likedPercent,numRatings,pages,publisher,ratingsByStars,ratings_count,setting,soldBy,author_list
Hold on Tight,,"['Romance', 'New Adult', 'Contemporary', 'Contemporary Romance', 'Young Adult', 'Adult', 'Audiobook', 'Love', 'Chick Lit', 'New Adult Romance']","Six years ago, Dewayne Falco's life changed. He lost someone he never expected to lose. Resigned to punish himself for something he felt he could have prevented, he goes through life without getting too close to anyone.What he didn't expect was for the girl across the street to move back home and remind him of what they both lost: Dewayne's younger brother Dustin. However, when a miniature version of Dustin opens the door to greet him, Dewayne realizes he might not have lost everything after all.Sienna Roy loved Dustin Falco most of her life. He was the boy next door, the high school basketball star and her best friend. But when his life was cut short, she realized he left a part of himself behind.Now, she's back in Sea Breeze, thankful to have a home for her and Dustin's son, but not sure if she can ever forgive the people across the street who abandoned her when she needed them the most — The Falcos.Betrayal, lies, and forbidden attraction might end Dewayne and Sienna's story before it's even begun.",Sea Breeze #8,,04/15/14,June 3rd 2014,[],ebook,,9781481420778,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1396457231l/18870150.jpg,4.3,[],301.0,4.0,,,,97.0,19112.0,288,Simon Pulse,"['9469', '6614', '2517', '411', '101']",,[],,['Abbi Glines']
"How to Buy, Sell, and Profit on eBay",Kick-Start Your Home-Based Business in Just Thirty Days,Business & Economics,"A lively insider's guide to starting a successful small business selling items old and new on eBay, written with personal anecdotes, well–kept secrets, and insider tips by Adam Ginsberg, eBay's most successful private salesperson. This is the insider's guide to making money on eBay. Adam Ginsberg is the most successful seller on eBay, moving around a million dollars' worth of merchandise every month. Not only will he impart his personal secrets on how to sell on eBay –learned through years of experience – and his tips on expanding your small business using eBay as a global market, but he'll also give fun side–notes and anecdotes, keeping the book lively and making it a fun and interesting read. This book will be a must–have for all current and aspiring eBay sellers, all small–business owners, and anyone who wants to learn how to start a million–dollar company.",,,,2010.0,,,0062032720,9780062032720,,http://books.google.com/books/content?id=eNq_KlqjJdwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,,,,,,,,,,,,,,['Adam Ginsberg']
History Is All You Left Me,,"['Young Adult', 'Contemporary', 'LGBT', 'Romance', 'Fiction', 'Mental Health', 'Queer', 'Mental Illness', 'Young Adult Contemporary', 'Realistic Fiction']","When Griffin's first love and ex-boyfriend, Theo, dies in a drowning accident, his universe implodes. Even though Theo had moved to California for college and started seeing Jackson, Griffin never doubted Theo would come back to him when the time was right. But now, the future he's been imagining for himself has gone far off course. To make things worse, the only person who truly understands his heartache is Jackson. But no matter how much they open up to each other, Griffin's downward spiral continues. He's losing himself in his obsessive compulsions and destructive choices, and the secrets he's been keeping are tearing him apart. If Griffin is ever to rebuild his future, he must first confront his history, every last heartbreaking piece in the puzzle of his life.",,,,January 17th 2017,[],ebook,,9781616956936,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1462807691l/25014114._SY475_.jpg,4.05,['Goodreads Choice Award Nominee for Young Adult Fiction (2017)'],889.0,9.0,,,,93.0,35762.0,320,Soho Teen,"['13825', '12841', '6650', '1806', '640']",,"['Los Angeles, California (United States)', 'New York City, New York (United States)']",,['Adam Silvera']
How to Talk So Teens Will Listen & Listen So Teens Will Talk,,Communication in families,"Presents a practical guide that addresses many of the tough issues teens and parents face, and offers advice to maintaining a positive dialogue that fostered mutual respect.",,,,2006.0,,,1401211348,9781401211349,,,4.11,,,,,,,,,187.0,,,1522.0,,,['Adele Faber']
How to Talk So Teens Will Listen and Listen So Teens Will Talk,,"['Parenting', 'Nonfiction', 'Self Help', 'Psychology', 'Education', 'Communication', 'Childrens', 'Family', 'Reference', 'Teen']","The renowned #1 New York Times bestselling authors share their advice and expertise with parents and teens in this accessible, indispensable guide to surviving adolescence.Adele Faber and Elaine Mazlish transformed parenting with their breakthrough, bestselling books Siblings Without Rivalry and How to Talk So Kids Will Listen & Listen So Kids Will Talk. Now, they return with this essential guide that tackles the tough issues teens and parents face today.Filled with straightforward advice and written in their trademark, down-to-earth style sure to appeal to both parents and teens, this all-new volume offers both innovative, easy-to-implement suggestions and proven techniques to build the foundation for lasting relationships. From curfews and cliques to sex and drugs, it gives parents the tools to help their children safely navigate the often stormy years of adolescence.",,,10/30/05,,[],Kindle Edition,,9780060741259,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1394271769l/9337370.jpg,4.02,[],97.0,1.0,,,,94.0,1969.0,228,,"['675', '800', '384', '86', '24']",,[],,"['Adele Faber', 'Elaine Mazlish']"
How to Talk So Kids Will Listen & Listen So Kids Will Talk,,"['Parenting', 'Nonfiction', 'Psychology', 'Self Help', 'Education', 'Childrens', 'Family', 'Teaching', 'Communication', 'Audiobook']","Here is the bestselling book that will give you the know-how you need to be effective with your children. Enthusiastically praised by parents and professionals around the world, the down--to--earth, respectful approach of Faber and Mazlish makes relationships with children of all ages less stressful and more rewarding.Recently revised and updated with fresh insights and suggestions, How to Talk so Kids Will Listen & Listen so Kids Will Talk is full of practical, innovative ways to solve common problems and build foundations for lasting relationships.",,20th Anniversary Edition,09/03/96,October 1st 1999,[],Paperback,,9780380811960,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442201568l/769016._SY475_.jpg,4.28,[],176.0,2.0,,,,97.0,22547.0,286,Collins Living,"['10914', '7925', '2929', '583', '196']",,[],,"['Adele Faber', 'Elaine Mazlish', 'Kimberly Ann Coe']"
Hallowe'en Party,,"Poirot, Hercule (Fictitious character)","No one believes a little girl when she insists that she has witnessed a murder until she herself turns up drowned, and Hercule Poirot sets out to catch the killer.",,,,2001.0,,,0007120680,9780007120680,,http://books.google.com/books/content?id=Qlx98EGK_jMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.66,,,,,,,,,336.0,,,18820.0,,,['Agatha Christie']
Hercule Poirot's Christmas,,Christmas stories,"On the night before Christmas, cruel, tyrannical, filthy-rich Simeon Lee is found in his locked bedroom with his throat cut. Now Hercule Poirot must put his deductive powers to the test to solve one of his most chilling cases--and to prevent a clever killer from spilling more blood.",,,,2001.0,,,0007120699,9780007120697,,http://books.google.com/books/content?id=EA0j4Jzn4vAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.93,,,,,,,,,335.0,,,23113.0,,,['Agatha Christie']
Hercule Poirot's Casebook,,Detective and mystery stories,"Here, for the first time in one volume, is the complete collection of fifty stories about Hercule Poirot.",,,,1989.0,,,0399150218,9780399150210,,http://books.google.com/books/content?id=okVDkgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.3,,,,,,,,,861.0,,,1852.0,,,['Agatha Christie']
Hallowe'en Party,,"['Mystery', 'Fiction', 'Crime', 'Classics', 'Detective', 'Mystery Thriller', 'Halloween', 'British Literature', 'Audiobook', 'Murder Mystery']","A teenage murder witness is drowned in a tub of apples... At a Hallowe'en party, Joyce—a hostile thirteen-year-old—boasts that she once witnessed a murder. When no-one believes her, she storms off home. But within hours her body is found, still in the house, drowned in an apple-bobbing tub. That night, Hercule Poirot is called in to find the 'evil presence'. But first he must establish whether he is looking for a murderer or a double-murderer...",Hercule Poirot #39,Agatha Christie Signature Edition,November 1969,September 3rd 2001,"['Ariadne Oliver', 'Hercule Poirot']",Paperback,,9780007120680,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1295673439l/16307.jpg,3.67,[],11.0,1.0,,,,91.0,33020.0,336,Harper,"['6852', '12062', '11014', '2593', '499']",,['Woodleigh Common (United Kingdom)'],,['Agatha Christie']
Hercule Poirot's Christmas,,"['Mystery', 'Fiction', 'Crime', 'Christmas', 'Classics', 'Detective', 'Mystery Thriller', 'British Literature', 'Audiobook', 'Holiday']","In Hercule Poirot's Christmas, the holidays are anything but merry when a family reunion is marred by murder — and the notoriously fastidious investigator is quickly on the case. The wealthy Simeon Lee has demanded that all four of his sons — one faithful, one prodigal, one impecunious, one sensitive — and their wives return home for Christmas. But a heartwarming family holiday is not exactly what he has in mind. He bedevils each of his sons with barbed insults and finally announces that he is cutting off their allowances and changing his will. Poirot is called in the aftermath of Simeon Lee's announcement.",Hercule Poirot #20,,12/19/38,September 1st 2001,"['David Lee', 'Lydia Lee', 'Pilar Estravados', 'Stephen Farr', 'Alfred Lee', 'George Lee', 'Harry Lee', 'Hilda Lee', 'Jennifer Lee', 'Magdalene Lee', 'Simeon Lee', 'Hercule Poirot', 'Coronel Johnson']",Paperback,,9780007120697,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1308808460l/16349.jpg,3.95,[],185.0,2.0,,,,96.0,40983.0,335,HarperCollins Publishers,"['11559', '17716', '10191', '1295', '222']",,['Gorston Hall (United Kingdom)'],,['Agatha Christie']
How Does Your Garden Grow? and Other Stories,,"['Mystery', 'Crime', 'Short Stories', 'Classics', 'Fiction', 'Historical Fiction', 'Detective']","How Does Your Garden Grow?: Complete & Unabridged With stories taken from ""Murder in the Mews"", each tale in this collection is entirely self-contained and features the character Hercule Poirot. Full description",,,1974,2002,['Hercule Poirot'],Audio Cd,,9780007145362,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1414480639l/131358.jpg,3.77,[],46.0,1.0,,,,89.0,203.0,,HarperCollins,"['63', '59', '59', '16', '6']",,[],,['Agatha Christie']
Hercule Poirot: The Complete Short Stories,,"['Mystery', 'Fiction', 'Short Stories', 'Crime', 'Classics', 'Mystery Thriller', 'Detective', 'British Literature', 'Collections', 'Thriller']","At last, a single volume that gathers together all of the short stories featuring Agatha Christie's most famous creation: Hercule Poirot. The dapper, mustache-twirling little Belgian with the egg-shaped head and curious mannerisms has solved some of the most puzzling crimes of the century—and, in his own humble opinion, is ""probably the greatest detective in the world.""In this complete collection of stories, ranging from short tales to novellas, Poirot faces violent murders, poisonings, kidnappings, and thefts—all solved with his characteristic panache. Only Agatha Christie could have devised cases worthy of Hercule Poirot's skill and ""little gray cells.""",Poirot: Omnibus Collection,,01/01/84,September 10th 2013,['Hercule Poirot'],Paperback,,9780062251671,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1373226709l/16248281.jpg,4.32,[],99.0,1.0,,,,98.0,7054.0,896,William Morrow Paperbacks,"['3538', '2441', '918', '120', '37']",,[],,"['Agatha Christie', 'Charles Todd']"
Hickory Dickory Dock,,"['Mystery', 'Fiction', 'Crime', 'Classics', 'Detective', 'Mystery Thriller', 'British Literature', 'Audiobook', 'Murder Mystery', 'Adult']","An outbreak of kleptomania at a student hostel was not normally the sort of crime that aroused Hercule Poirot’s interest. But when he saw the list of stolen and vandalized items – including a stethoscope, some old flannel trousers, a box of chocolates, a slashed rucksack and a diamond ring found in a bowl of soup – he congratulated the warden, Mrs Hubbard, on a ‘unique and beautiful problem’. The list made absolutely no sense at all. But, reasoned Poirot, if this was merely a petty thief at work, why was everyone at the hostel so frightened?",Hercule Poirot #32,,1955,December 7th 2006,['Hercule Poirot'],Audio CD,,9781572705647,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328856031l/31299.jpg,3.77,[],42.0,1.0,,,,94.0,22390.0,196,AudioGO,"['5008', '8802', '7192', '1159', '229']",,"['London, England']",,"['Agatha Christie', 'Hugh Fraser']"
Huzur,,"['Turkish Literature', 'Fiction', 'Turkish', 'Classics', 'Novels', 'Roman', 'Literature', 'Historical Fiction', 'Unfinished', 'The World']","Tanpınar, kültürümüzü bir ""iç âlem medeniyeti""nin tezahürü olarak görür. Bu medeniyeti, belirli bir ahlâkı taşıyan ""mânevi vazifelerine inanmış, muayyen bir ruh nizamından geçmiş, nefislerini terbiye etmiş"" insanlar meydana getirmiştir.Huzur'un kahramanlarından Mümtaz, roman boyunca kendisini ""huzur""a kavuşturacak bir ""iç nizam""ı aramaktadır. Eserde hastalık, ölüm, tabiat, kozmik unsurlar, medeniyet, sosyal meseleler, çeşitli ruh halleri ve estetik fikirler iç içe verilir. Ancak bütün bunların üzerinde romana hâkim olan Mümtaz'la Nuran'ın aşklarıdır. İstanbul, bu aşkın yaşandığı çevre olmaktan çıkarak, âdeta bir roman kahramanı gibi ele alınır.Huzur için, belli bir dünya görüşüne, bir hayat nizamına kavuşamamış Cumhuriyet aydınlarının ""huzursuzlukları""nı dile getiriyor denebilir.",,,10/30/49,September 2014,"['Mümtaz', 'Nuran', 'İhsan', 'Suat']",Paperback,,9789759952471,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1458675956l/6850768.jpg,4.28,[],99.0,1.0,,,,96.0,3454.0,424,Dergâh Yayınları,"['1726', '1168', '407', '115', '38']",,[],,['Ahmet Hamdi Tanpınar']
Hidup Itu Indah: Kumpulan Komik Opini,,"['Comics', 'Indonesian Literature', 'Komik', 'Humor', 'Graphic Novels', 'Islam', 'Nonfiction']","""Kartun ini saya sebut kartun opini dan saya kira memang kita perlukan sebagai salah satu cara berkomunikasi yang unik""
- Seno Gumira Ajidarma

""Karya yang provokatif, saya menghargai keberanian Aji Prasetyo dalam menuangkan gelora kegelisahannya.""
- Noor Huda Ismail (Direktur Eksekutif Yayasan Prasasti Perdamaian)",,,,2010,[],Paperback,,9789791846288,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1286186281l/9453846.jpg,4.21,[],99.0,1.0,,,,97.0,336.0,,Cendana Art Media,"['146', '127', '53', '6', '4']",,[],,"['Aji Prasetyo', 'Ayu Utami']"
"Hand, Hand, Fingers, Thumb",,"['Picture Books', 'Childrens', 'Fiction', 'Storytime', 'Music', 'Animals', 'Classics', 'Poetry', 'Juvenile', 'Kids']","Illus. in full color. A madcap band of dancing, prancing monkeys explain hands, fingers, and thumbs to beginning readers.",,,11/06/69,January 20th 1998,[],Board Book,,9780679890485,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1397803649l/857501.jpg,4.23,[],64.0,1.0,,,,94.0,28113.0,24,Random House Books for Young Readers,"['15088', '6560', '4715', '1250', '500']",,[],,"['Al Perkins', 'Eric Gurney']"
Hitler: A Study in Tyranny,,"['History', 'Biography', 'Nonfiction', 'World War II', 'Germany', 'War', 'Politics', 'European History', 'Biography Memoir', 'Historical']","The classic biography of Hitler that remains, years after its publication, one of the most authoritative and readable accounts of his life. Here in an abridged edition.",,Abridged,10/30/52,June 5th 1991,['Adolf Hitler'],Paperback,,9780060920203,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1407707232l/1016875.jpg,4.11,[],146.0,2.0,,,,95.0,1420.0,512,Harper Perennial,"['557', '538', '261', '46', '18']",,[],,['Alan Bullock']
Hitler and Stalin: Parallel Lives,,"['History', 'Biography', 'Nonfiction', 'Russia', 'Politics', 'Germany', 'World War II', 'Biography Memoir', 'War', 'European History']","Forty years after his Hitler: A Study in Tyranny set a standard for scholarship of the Nazi era, Lord Alan Bullock gives readers a breathtakingly accomplished dual biography that places Adolf Hitler's origins, personality, career, and legacy alongside those of Joseph Stalin--his implacable antagonist and moral mirror image.",,,10/29/91,November 2nd 1993,"['Joseph Stalin', 'Adolf Hitler']",Paperback,,9780679729945,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1560076497l/782319._SY475_.jpg,4.16,['Wolfson History Prize (1992)'],245.0,3.0,,,,95.0,2462.0,1152,Vintage,"['1090', '829', '423', '80', '40']",,[],,['Alan Bullock']
