title,subtitle,categories,description,series,edition,firstPublishDate,published_year,characters,format,isbn10,isbn13,asin,image_url,average_rating,awards,bbeScore,bbeVotes,isBestSeller,isEditorsPick,isGoodReadsChoice,likedPercent,numRatings,pages,publisher,ratingsByStars,ratings_count,setting,soldBy,author_list
Howling for My Baby,,"['Paranormal Romance', 'Romance', 'Paranormal', 'Shapeshifters', 'Fantasy', 'Werewolves', 'Contemporary', 'Adult', 'Erotica', 'Fiction']","Romeo and Juliet never had to worry about being skinned alive.Sydney Skeller’s father is spitting bullets over her reluctance to join the family business as a shifter hunter. The last thing Daddy needs to know is why—she yearns for a lover who’s man enough for a relationship but animal enough to give her the wild ride of her dreams. After a treadmill mishap lands her in a tangled heap with Jason Cannon, she wonders if she’s finally found her beast, er, man. One session in bed and one bite later, she’s sure. Now if only she can keep her father from mounting Jason’s head on a wall…Jason is all man on the surface, but wolf shifter down to the bone. He’s more than ready to stop “playing the pack” and find his one true mate, and Sydney of the luscious curves is the woman of his dreams. Finding out that she comes from a family sworn to eradicate his kind isn’t a deal-breaker. But her outrageous plan for him to masquerade as the wolf in hunter’s clothing, right under her father’s very nose, could be asking more than he ever expected to give.Warning: Readers, be aware of stranger side effects. These side effects may include but aren’t limited to the following: biting strangers, asking furry strangers to bite you, purposely falling off treadmills to collide with handsome strangers, enjoying hot sex with wild strangers, and baying at the moon to meet other moon-influenced strangers. If you notice any of these side effects, contact the author immediately. You may be the heroine of her next book!",Cannon Pack #1,,10/30/09,April 3rd 2009,"['Sydney Skeller', 'Jason Cannon']",ebook,,9781605044842,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1263107495l/6641640.jpg,3.28,[],96.0,1.0,,,,73.0,771.0,173,Samhain Publishing,"['163', '173', '229', '130', '76']",,[],,['Beverly Rae']
Honestly Ben,,"['LGBT', 'Young Adult', 'Romance', 'Contemporary', 'Queer', 'Fiction', 'Audiobook', 'Gay', 'M M Romance', 'Realistic Fiction']","Ben Carver is back to normal. He’s getting all As in his classes at the Natick School. He was just elected captain of the baseball team. He’s even won a big scholarship for college, if he can keep up his grades. All that foolishness with Rafe Goldberg last semester is over now, and he just needs to be a Carver, work hard, and stay focused.Except…There’s Hannah, a gorgeous girl who attracts him and distracts him. There’s his mother, whose quiet unhappiness he’s noticing for the first time. School is harder, the pressure higher, the scholarship almost slipping away. And there’s Rafe, funny, kind, dating someone else…and maybe the real normal that Ben needs.",Openly Straight #2,,,March 28th 2017,[],Hardcover,,9780545858267,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1468438526l/27230789._SY475_.jpg,3.99,[],91.0,1.0,,,,94.0,5662.0,330,Arthur A. Levine Books,"['1865', '2271', '1181', '289', '56']",,[],,['Bill Konigsberg']
Homicidal Psycho Jungle Cat,A Calvin and Hobbes Collection,Humor,"Reprising the wide-open landscape format of, The Days Are Just Packed, Homicidal Psycho Jungle Cat chronicles another segment of the multifarious adventures of this wild child and his faithful, but skeptical, friend. If the best cartoons compel readers to identify themselves within the funny frames, then all who enjoy Calvin and Hobbes are creative, imaginative, and ... bad, bad, bad! Calvin, the irascible little boy with the stuffed tiger who comes to life are a pair bound for trouble. Boring school lessons become occasions for death-defying alien air battles, speeding snow sled descents elicit philosophical discussions on the meaning of life, and Hobbe's natural inclination to pounce on his little friend wreaks havoc on Calvin's sense of security. Calvin's the kid we all wish we'd been. Sassy, imaginative, far more verbal than his parents can manage, Calvin is the quintessential bad boy -- and the boy we love to see. He terrorizes little Susie, offers ""Candid Opinions"" from a neighborhood stand, and questions his parents' authority. ""What assurance do I have that your parenting isn't screwing me up?"" he demands. Calvin and Hobbes manages to say what needs to be said about childhood and life: ""Eww, mud,"" says Calvin. ""Look at this gooshy, dirty, slimy, thick, wet mud ... Bleecch ... Talk about a kid magnet!""",,,,1994.0,,,0836217691,9780836217698,,http://books.google.com/books/content?id=-aOTQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.72,,,,,,,,,176.0,,,14952.0,,,['Bill Watterson']
Homicidal Psycho Jungle Cat,,"['Comics', 'Humor', 'Fiction', 'Graphic Novels', 'Graphic Novels Comics', 'Comic Strips', 'Comic Book', 'Childrens', 'Comedy', 'Cartoon']","Homicidal Psycho Jungle Cat chronicles the multifarious adventures of this wild child and his faithful, but skeptical, friend. If the best cartoons compel readers to identify themselves within the funny frames, then all who enjoy Calvin and Hobbes are creative, imaginative, and ... bad, bad, bad! Calvin, the irascible little boy with the stuffed tiger who comes to life are a pair bound for trouble. Boring school lessons become occasions for death-defying alien air battles, speeding snow sled descents elicit philosophical discussions on the meaning of life, and Hobbe's natural inclination to pounce on his little friend wreaks havoc on Calvin's sense of security. Calvin's the kid we all wish we""d been. Sassy, imaginative, far more verbal than his parents can manage, Calvin is the quintessential bad boy--and the boy we love to see. He terrorizes little Susie, offers ""Candid Opinions"" from a neighborhood stand, and questions his parents"" authority. ""What assurance do I have that your parenting isn't screwing me up?"" he demands. Calvin and Hobbes manages to say what needs to be said about childhood and life: ""Eww, mud,"" says Calvin. ""Look at this gooshy, dirty, slimy, thick, wet mud... Bleecch... Talk about a kid magnet!""",Calvin and Hobbes #9,,09/01/94,September 6th 1994,"['Calvin', 'Hobbes']",Paperback,,9780836217698,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1448818381l/24816._SX318_.jpg,4.72,[],196.0,3.0,,,,100.0,17814.0,176,Andrews McMeel Publishing,"['13801', '3171', '762', '60', '20']",,[],,['Bill Watterson']
Hope for the Troubled Heart: Finding God in the Midst of Pain,,"['Christian', 'Christian Living', 'Nonfiction', 'Religion', 'Christianity', 'Self Help', 'Inspirational', 'Christian Non Fiction']","What hopeless situation troubles your heart? The death of a loved one? The memories of childhood abuse? The diagnosis of terminal illness? The strain of financial failure? A stormy marriage? A body wracked by pain? A lonely sense of emptiness? Into your hopeless situation comes beloved evangelist Billy Graham bearing God's gift of hope, one of the strongest ""medicines"" known to humanity, an amazing resource that ""can cure nearly everything.""Filled with unforgettable stories of real-life people and irrefutable lessons of biblical wisdom, Hope for the Troubled Heart inspires and encourages you with God's healing and strengthening truths. It shows you how to cope when your heart is breaking, how to pray through your pain, how to avoid the dark pit of resentment and bitterness, and how to be a comforter to others who hurt. You'll be reminded that ""before we can grasp any meaning from suffering we must rest in God's unfailing love."" And you'll find the ""joy to be discovered in the midst of suffering.""Here you'll learn how hope helps troubled hearts find peace.",,,08/01/90,April 9th 2000,[],Paperback,,9780849942112,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1380857012l/511152.jpg,4.44,[],94.0,1.0,,,,98.0,209.0,224,Thomas Nelson,"['127', '53', '25', '3', '1']",,[],,['Billy Graham']
Hope for Each Day: Words of Wisdom and Faith,,"['Christian', 'Religion', 'Nonfiction', 'Christian Non Fiction', 'Inspirational', 'Spirituality']","In keeping with the spirit of Max Lucado's Grace for the Moment, Charles Swindoll's Wisdom for the Way, and John MacArthur's Truth for Today comes the latest edition into the Daily Devotional series. In Hope for Each Day, Billy Graham offers spiritual comfort to guide us through our daily lives. Rev. Graham is a national treasure and has counseled numerous political leaders and provided comfort in times of public crisis.",,,04/15/02,September 3rd 2006,[],Paperback,,9781404103924,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348077021l/173307.jpg,4.51,[],96.0,1.0,,,,97.0,321.0,400,Thomas Nelson,"['210', '81', '19', '5', '6']",,[],,['Billy Graham']
Hethiter: Die Unbekannte Weltmacht,,['History'],,,,,,[],,,9783492043380,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1401103946l/3099875.jpg,4.07,[],94.0,1.0,,,,100.0,27.0,352,,"['8', '13', '6', '0', '0']",,[],,['Birgit Brandau']
Hard Times,,"['Lesbian', 'LGBT', 'Lesbian Fiction', 'Romance', 'Lesbian Romance', 'Crime', 'Thriller', 'Queer', 'Fiction']","Years ago, Lorna Malachi, a frightened teenager, was plunged into a nightmare called Blue Ridge Women's Correctional Facility. Terrified and desperate to belong, she sold her soul one piece at a time. She survived to sit atop the ever-shifting trash heap of prison society. Lorna has learned the hard way not to trust anyone, particularly penal system virgins like Kellie Holloway, her unrepentant new cellmate. But Kellie's pride and cluelessness guarantee that without help, she won't last long. Together, Kellie and Lorna navigate through an oppressive, hidden world where the lines between right and wrong blur, sexual passion is forbidden but explosive, and love is the biggest risk of all.",,,,October 22nd 2007,[],Paperback,,9781883523909,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1358374229l/1295033.jpg,3.97,[],82.0,1.0,,,,94.0,514.0,264,Spinsters Ink,"['158', '223', '102', '23', '8']",,[],,['Blayne Cooper']
Holy Terror: Andy Warhol Close Up,,"['Art', 'Biography', 'Nonfiction', 'Pop Culture', 'Art History', 'Memoir', 'Biography Memoir']","From Library JournalThe former editor of Andy Warhol's Interview magazine, Colacello has an insider's story to tell. This book is as bitchy and packed with names as its readers could want. The Andy Warhol Factory is described (not surprisingly) as an exploitative place where Andy got richer and richer while his drones worked harder and harder. Colacello's straightforward chronology of working and partying in Warhol's circle is tinged by his bitterness over a heavy workload and little pay at the Factory. His tone captures perfectly the self-obsessed philosophy that drove Warhol, his hangers-on, and the subculture of sex, drugs, parties, discos, and the New York art scene of the 1970s and early 1980s. Recommended for academic, art, and public libraries. Photos not seen. Previewed in Prepub Alert, LJ 2/1/90.- David Bryant, Belleville P.L., N.J.",,,10/30/90,August 1st 1990,[],Hardcover,,9780060164195,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1578094508l/1576334._SX318_.jpg,3.96,[],96.0,1.0,,,,95.0,602.0,768,HarperCollins Publishers,"['200', '214', '156', '27', '5']",,[],,['Bob Colacello']
Halsey's Typhoon,"The True Story of a Fighting Admiral, an Epic Storm, and an Untold Rescue",History,"An epic account of the previously classified 1944 naval disaster describes how naval admiral William Halsey's Pacific Fleet was advancing on Tokyo under General MacArthur's orders only to be swept up by a category-four typhoon that capsized three destroyers and ended the lives of nearly 800 young soldiers. 100,000 first printing. $125,000 ad/promo.",,,,2007.0,,,0871139480,9780871139481,,http://books.google.com/books/content?id=SQC38ny29jAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.09,,,,,,,,,322.0,,,970.0,,,"['Bob Drury', 'Thomas Clavin']"
Hamlet's Dresser,A Memoir,Biography & Autobiography,"A Shakespeare instructor to the acting community discusses his childhood spent with an overwhelmed mother, critical father, and severely handicapped sister; the discovery of Shakespeare that gave him a purpose and a means of viewing the world; and his work with celebrated actors, seniors, and college students. Reprint.",,,,2003.0,,,0684852705,9780684852706,,http://books.google.com/books/content?id=KZxn1zPfQEsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,3.75,,,,,,,,,288.0,,,363.0,,,['Bob Smith']
Horse Shy,,"['Horses', 'Childrens', 'Young Adult', 'Animals', 'Fiction', 'Juvenile', 'Middle Grade', 'Kids', 'Chapter Books', 'Realistic Fiction']","When one of Pine Hollow's students makes a terrible mistake, causing a tragic accident, Carole is done with riding forever. Unless Stevie and Lisa can remind her what friendship and the Saddle Club are all about.",Saddle Club #2,,11/06/88,October 1st 1988,"['Stevie Lake', 'Lisa Atwood', 'Carole Hanson', 'Veronica DiAngelo', 'Maxmillian Regnery III', 'Meg Durham', 'Lorraine Olsen', 'Betsy Cavanaugh', ""Red O'Malley""]",Paperback,,9780553156119,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1331964282l/850410.jpg,3.87,[],55.0,1.0,,,,93.0,1367.0,133,Bantam USA,"['470', '361', '438', '78', '20']",,[],,['Bonnie Bryant']
Horse Sense,,"['Horses', 'Childrens', 'Young Adult', 'Animals', 'Fiction', 'Juvenile', 'Chapter Books', 'Middle Grade', 'Realistic Fiction', 'Contemporary']","Lisa love being a member of the Saddle Club. But lately, Stevie and Carole haven't had time for her or their friendship. And if she can't
convince her friends that their club is just as important, she may have to find new members to replace them. . . .",Saddle Club #3,,01/01/88,January 9th 2007,[],Paperback,,9780553156263,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320390264l/850411.jpg,3.77,[],56.0,1.0,,,,93.0,954.0,144,Bantam USA,"['271', '268', '346', '59', '10']",,[],,['Bonnie Bryant']
Horse Power,,"['Horses', 'Childrens', 'Young Adult', 'Animals', 'Fiction', 'Juvenile', 'Chapter Books', 'Kids', 'Middle Grade']","Carole, Stevie, and Lisa have been looking for a fourth member to join the Saddle Club. So when Carole introduces her friends to Kate Devine, the championship rider, the girls know they've found the perfect fit. Except that Kate doesn't want to ride ever again. . . .",Saddle Club #4,,01/01/89,January 9th 2007,[],Paperback,,9780553156379,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1391710770l/850385.jpg,3.78,[],57.0,1.0,,,,93.0,886.0,144,Bantam Skylark,"['260', '243', '320', '53', '10']",,[],,['Bonnie Bryant']
Horse Show,,"['Horses', 'Childrens', 'Young Adult', 'Fiction', 'Animals', 'Juvenile', 'Middle Grade']","TO THE SADDLE Club, there's nothing more exciting than riding horses at Pine Hollow - until they're invited to New York City to watch the American Horse Show! Max's former student, Dorothy DeSoto, will be competing, and the girls will get a backstage view of competitive riding. And in their free time, Lisa, Carole, and Stevie might just get to be the star of their own show - on the big screen!",Saddle Club #8,,11/06/89,September 11th 2007,[],Paperback,,9780553157697,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320431646l/1806174.jpg,3.84,[],64.0,1.0,,,,94.0,575.0,144,Yearling,"['184', '156', '200', '30', '5']",,[],,['Bonnie Bryant']
Horsenapped!,,"['Horses', 'Childrens', 'Young Adult', 'Animals', 'Fiction']","Stevie, Carole, and Lisa are best friends and horse-crazy members of The Saddle Club. The three are looking forward to the combined-training event at Pine Hollow Stables, when all riders will compete in dressage, cross-country, and stadium jumping. It's a horse lover's dream!When snooty Veronica blames her bad performance on her horse, Garnet, and storms out of the ring, Carole follows, fearing Veronica's threat to give away her horse. But horse and rider have disappeared.Later, when Lisa finds a $10,000 ransom note in the stall, the possibility becomes all too clear: Garnet has been horsenapped!Who would have thought that The Saddle Club would ever feel sorry for Veronica? The girls resolve to catch the horsenappers and soon find themselves in a daring escape that puts all their horse-riding skills to the test.",Saddle Club #17,,11/06/91,July 1st 1991,[],Paperback,,9780553159370,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1288552668l/1207063.jpg,3.71,[],58.0,1.0,,,,92.0,430.0,133,Skylark,"['102', '142', '153', '26', '7']",,[],,['Bonnie Bryant']
Horse Play,,"['Horses', 'Childrens', 'Young Adult', 'Animals', 'Fiction', 'Middle Grade', 'Juvenile', 'Chapter Books']","THE SADDLE CLUB would do anything to help a friend in need. So when Stevie overhears Max on the phone mysteriously pleading for more time and more money, she, Lisa, and Carole, know what they need to do. Pine Hollow is clearly in trouble and it's up to the Saddle Club to save the day. But while the girls are plotting good deeds, someone is pulling pranks on them! Could it be the same person who wants to see Pine Hollow sold to the highest bidder?",Saddle Club #7,,01/01/89,November 16th 1990,[],Paperback,,9780553403008,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1178897324l/850390._SX318_.jpg,3.74,[],65.0,1.0,,,,93.0,552.0,144,Random House Children's Books (A Division of Random House Group),"['144', '164', '207', '31', '6']",,[],,['Bonnie Bryant']
Horse Wise,,"['Horses', 'Childrens', 'Young Adult', 'Fiction', 'Middle Grade', 'Juvenile', 'Animals']","When Max announces that Pine Hollow will begin its own Pony Club, Stevie, Carole, and Lisa are excited to know they’re about to become even more knowledgeable about horses. But spoiled Veronica is more focused on riding her new horse than learning how to take care of him. The Saddle Club won’t soon forget what happened with Veronica’s last horse, Cobalt. And when it looks like she’s headed for the same trouble again, the girls are quick to act—but are they already too late?",Saddle Club #11,,11/05/90,February 21st 1991,[],Paperback,,9780553403046,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1316272632l/850389.jpg,3.77,[],75.0,1.0,,,,94.0,432.0,144,Bantam Skylark,"['107', '149', '150', '23', '3']",,[],,['Bonnie Bryant']
Horse Games,,"['Horses', 'Childrens', 'Young Adult', 'Fiction', 'Animals', 'Middle Grade']","Stevie is excited about a great new sport--polocrosse. When she learns that the Horse Wise Pony Club will be playing against her boyfriend's team, she's thrilled. Now she'll finally have the chance to show him what a good rider she is! Her best friends, Carole and Lisa, are enthusiastic about anything that has to do with horses, but they don't share Stevie's fierce drive to win. Carole would rather spend time with their new friend Marie, who was injured in an accident. Marie needs help, and Carole knows that horses are the answer. If she can interest Marie in riding again,she'll be on the road to recovery. When Stevie sprains her ankle, her determination is as strong as ever. Carole and Lisa thought she was a terror as a player, but they can't believe what she's like as a coach! Her competitive spirit is starting to threaten their friendship. What will it take to get the Saddle Club team spirit back again?",Saddle Club #16,,11/06/91,October 17th 1991,[],Paperback,,9780553404364,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1178897335l/850398.jpg,3.67,[],72.0,1.0,,,,92.0,315.0,144,Random House Children's Books (A Division of Random House Group),"['76', '88', '127', '20', '4']",,[],,['Bonnie Bryant']
Hayride,,"['Horses', 'Childrens', 'Fiction', 'Animals']","It's Carole's birthday, and The Saddle Club is planning an extra-special celebration. They're having their first boy-girl party, which will include a romantic moonlit hayride. When snooty Veronica diAngelo hears about their plans, she assumes she isn't invited. And now Veronica is determined to wreck the party--and steal one of The Saddle Club's boyfriends!",Saddle Club #31,,01/01/93,November 1st 1993,[],Paperback,,9780553481457,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1316266720l/1605393.jpg,3.81,[],91.0,1.0,,,,93.0,191.0,150,Skylark,"['61', '48', '69', '11', '2']",,[],,['Bonnie Bryant']
High Horse,,"['Horses', 'Childrens', 'Young Adult']","It’s springtime at Pine Hollow Stables, and that means it’s time for That Saddle Club to take another trip on the MTO – the Mountain Trail Overnight. For Stevie, this year’s overnight trail ride promises to be particularly special because her boyfriend, Phil, is coming along. But as soon as the trip begins, there’s trouble between Stevie and Phil. Are these two good riders and close friends about to break up for good?",Saddle Club #33,,01/01/94,March 1st 1994,[],Paperback,,9780553481471,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327992930l/1658702.jpg,3.72,[],80.0,1.0,,,,92.0,210.0,144,Skylark,"['59', '49', '86', '16', '0']",,[],,['Bonnie Bryant']
Horse Trade,,"['Horses', 'Childrens', 'Young Adult']","Phil Marsten, Stevie's boyfriend and an out-of-town member of The Saddle Club, is boarding an Arabian at his family's stable. When Phil offers to let Stevie ride the horse, she eagerly accepts. In exchange, Stevie has promised to give the horse all the care and exercise she needs.",Saddle Club #38,,,October 1st 1994,[],Paperback,,9780553481549,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1267407400l/2968555.jpg,3.9,[],100.0,1.0,,,,94.0,174.0,144,Skylark,"['57', '53', '54', '10', '0']",,[],,['Bonnie Bryant']
Horseshoe,,"['Horses', 'Childrens', 'Animals', 'Fiction', 'Young Adult']","The Horse Wise Pony Club riders have been working hard on a precision horseback drill. They'll perform it on Founders' Day to raise money for the needy animals at a nearby shelter. But Lisa, Stevie, and Carole want to do even more.Then Lisa gets the bright idea to set up a tent and read people's fortunes before the drill. The Saddle Club's wildest dreams are fulfilled when nasty Veronica diAngelo enters the tent to learn whether there's romance in her cards. But someone else wants to know the future too -- what can the girls predict for a lonely junior rider?",Saddle Club #44,,,April 1st 1995,[],Paperback,,9780553482621,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1266551665l/2110478.jpg,3.78,[],98.0,1.0,,,,91.0,171.0,144,Skylark,"['53', '44', '59', '14', '1']",,[],,['Bonnie Bryant']
Hobbyhorse,,"['Horses', 'Childrens', 'Young Adult']","Lisa's horrid, bratty cousin is staying with the Atwoods. The nightmare child acts charming around adults, but to other kids she's a menace! Now she's trying to get The Saddle Club into trouble and it's working. No one believes that little Amelia broke an expensive hobbyhorse the Atwoods own. Instead, fingers are being pointed at The Saddle Club.",Saddle Club #60,,01/01/96,February 24th 1997,[],Paperback,,9780553483741,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1186490691l/1658696._SX318_.jpg,3.69,[],67.0,1.0,,,,87.0,190.0,144,Skylark,"['55', '47', '64', '22', '2']",,[],,['Bonnie Bryant']
Horse Crazy,,"['Horses', 'Childrens', 'Animals', 'Young Adult', 'Fiction', 'Realistic Fiction', 'Juvenile', 'Chapter Books', 'Middle Grade', 'Kids']","Carole Hanson and Stevie Lake have been best friends ever since they met at Pine Hollow Stables. So when Lisa Atwood joins their riding group, the girls aren't sure she's got what it takes. Lisa may be the smartest student in the classroom, but she's got a lot to learn when it comes to horses...",Saddle Club #1,,06/28/88,April 1st 1996,[],Paperback,,9780553484021,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320390261l/764220.jpg,3.89,[],54.0,1.0,,,,91.0,3077.0,144,Yearling,"['1180', '735', '886', '207', '69']",,[],,['Bonnie Bryant']
Holiday Horse,,"['Horses', 'Childrens', 'Middle Grade', 'Young Adult']","It's New Year's Eve and The Saddle Club is baby-sitting so that Max and Deborah Regnery can have a night off. The Saddle Club think it will be a peaceful evening, full of Monopoly, New Year's resolutions, and talking. They didn't count on 6-month-old Maxi. She's cute. She's adorable. But she isn't ready to go to bed. The Saddle Club have to give up their plans and spend the night playing with her until she finally tires out. Then a late night phone call sends the three friends to the aid of a neighboring stable's horses. But what about Maxi? Looks like she's about to get her first riding lesson from The Saddle Club.",Saddle Club #72,,,November 10th 1997,[],Paperback,,9780553484274,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1177527129l/710603.jpg,3.8,[],86.0,1.0,,,,93.0,147.0,160,Skylark,"['45', '39', '53', '9', '1']",,[],,['Bonnie Bryant']
Horse Whispers,,"['Horses', 'Childrens', 'Middle Grade']","The Saddle Club is spending February vacation with the Devines at the Bar None Ranch. Colonel Devine has just bought some new horses and one of the mares reminds Carole of Cobalt, the first horse she really loved. Carole rides the mare and discovers that, while the mare has been trained, there is still something wild in her.Then the mare runs away. The Saddle Club finds her running with a herd of wild horses that lives on the Bar None land. They bring the mare back. She runs away again. They bring her back again, only to have her run away once more. Eventually, The Saddle Club and the Devines must face the fact that the mare wants to be in the wild--and that she belongs there. Carole's encounter with this free spirit teaches her something about herself, too. She has a very special talent--she's a natural horse whisperer.",Saddle Club #74,,01/09/98,January 12th 1998,[],Paperback,,9780553486247,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1175197792l/491858.jpg,3.82,[],66.0,1.0,,,,91.0,163.0,144,Skylark,"['55', '39', '54', '14', '1']",,[],,['Bonnie Bryant']
Horse Thief,,"['Horses', 'Childrens']","Coming soon from Bantam Doubleday Dell Books for Young Readers!The Saddle Club is taking part in a big Pony Club rally being held at Pine Hollow. Riders from all the local Pony Clubs are there, including Stevie's boyfriend, Phil Marsten. For once Stevie and Phil aren't being too competitive so everyone is having a good time--until a thief spoils the fun by stealing $500 from the stable office. Veronica diAngelo says she saw Phil hanging around the office and acting suspiciously. And Phil did need money. But he'd never resort to theft, would he? Is Veronica up to something? Or is there a thief among the riders? It's up to the Saddle Club to find out and clear Phil's name.",Saddle Club #83,,,September 8th 1998,[],Paperback,,9780553486339,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1185231815l/1560460._SX318_.jpg,3.81,[],79.0,1.0,,,,92.0,145.0,160,Skylark,"['46', '37', '51', '10', '1']",,[],,['Bonnie Bryant']
Hoof Beat,,"['Horses', 'Childrens', 'Young Adult', 'Animals', 'Fiction', 'Juvenile', 'Middle Grade']","Carole trains Samson, Pine Hollow's new foal; Stevie has a visitor from Washington, D.C.; and Lisa begins writing Hoof Beat, a weekly column for the local newspaper.",Saddle Club #9,Large Print,01/01/90,January 1st 1996,[],Hardcover,,9780836815313,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1336890371l/1207062.jpg,3.7,[],69.0,1.0,,,,92.0,466.0,135,Gareth Stevens Publishing,"['117', '131', '182', '32', '4']",,[],,['Bonnie Bryant']
His Name Was Not Listed,,"['Fiction', 'Classics', 'War', 'Historical Fiction', 'Russia']","Васильев Борис Львович, оказавшись на фронте совсем молодым парнем, знает о войне не понаслышке. Рассказывая историю главного героя повести «В списках не значился» лейтенанта Плужникова, писатель повествует о пути, пройденном им самим и его сверстниками. Это путь формирования личного человеческого и национального достоинства, вынуждающего врага отдавать честь мальчишке, заявляющего: «Я — русский солдат».",,,10/29/74,1978,[],Hardcover,,9780714712239,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1438032142l/2700933._SY475_.jpg,4.57,[],100.0,1.0,,,,98.0,316.0,248,Progress Publishers,"['217', '70', '24', '2', '3']",,[],,['Boris Vasilyev']
Heartsnatcher,,Fiction,"Boris Vian s early death robbed French literature of a novelist who was coherent while still modern. Heartsnatcher is an esoteric, surrealistic comedy about guilt, set in a deceptively familiar, almost ordinary locale. New Statesman",,,,2003.0,,,1564782999,9781564782991,,http://books.google.com/books/content?id=T-wj9t353TAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.98,,,,,,,,,245.0,,,2368.0,,,['Boris Vian']
Heartsnatcher,,"['Fiction', 'France', 'French Literature', 'Novels', 'Roman', '20th Century', 'Classics', 'Literature', 'Fantasy', 'Surreal']","Set in a bizarre and slightly sinister town where the elderly are auctioned off at an Old Folks Fair, the townspeople assail the priest in hopes of making it rain, and the official town scapegoat bears the shame of the citizens by fishing junk out of the river with his teeth. Heartsnatcher is Boris Vian's most playful and most serious work. The main character is Clementine, a mother who punishes her husband for causing her the excruciating pain of giving birth to three babies. As they age, she becomes increasingly obsessed with protecting them, going so far as to build an invisible wall around their property.",,,01/30/53,October 3rd 2003,"['Angel (Heartsnatcher)', 'Clémentine (Heartsnatcher)', 'Jacquemort']",Paperback,,9781564782991,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327880118l/28377.jpg,3.96,[],180.0,2.0,,,,93.0,4704.0,245,Dalkey Archive Press,"['1627', '1704', '1027', '258', '88']",,[],,"['Boris Vian', 'Stanley Chapman', 'Raymond Queneau', 'John Sturrock']"
"Hardcore Zen: Punk Rock, Monster Movies and the Truth about Reality",,"['Buddhism', 'Nonfiction', 'Philosophy', 'Zen', 'Religion', 'Spirituality', 'Memoir', 'Music', 'Self Help', 'Biography']","This is not your typical Zen book. Brad Warner, a young punk who grew up to be a Zen master, spares no one. This bold new approach to the ""Why?"" of Zen Buddhism is as strongly grounded in the tradition of Zen as it is utterly revolutionary. Warner's voice is hilarious, and he calls on the wisdom of everyone from punk and pop culture icons to the Buddha himself to make sure his points come through loud and clear. As it prods readers to question everything, Hardcore Zen is both an approach and a departure, leaving behind the soft and lyrical for the gritty and stark perspective of a new generation.The subtitle says it all: there has never been a book like this.",,,,August 8th 1994,[],Paperback,,9780861713806,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386924961l/51637.jpg,3.99,[],96.0,1.0,,,,91.0,6181.0,207,Wisdom Publications,"['2268', '2292', '1080', '347', '194']",,[],,['Brad Warner']
How to Make Money While You Are Sleeping: Passive Income Generating Junkie,,[],"If you prefer to earn passive income, think of the 3.7 billion people who are online daily and a great percentage of them are looking for particular goods and services. You can have a piece of the online income pie if you put your mind to it.What you need to do is to decide how exactly you want to earn a passive income so that you too can create lasting wealth while enjoying a freedom lifestyle and working in your pajamas.https: //www.passivejunkies.co",,,,May 22nd 2018,[],Paperback,,9781549566639,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1535215589l/41457223._SX318_.jpg,5.0,[],37.0,1.0,,,,,1.0,32,Independently Published,[],,[],,['Brandon K. Gates']
