author,title,subtitle,language,categories,description,series,edition,firstPublishDate,published_year,characters,format,genres,isbn10,isbn13,asin,image_url,average_rating,awards,bbeScore,bbeVotes,best_sellers_rank,bookId,buybox_seller,isBestSeller,isEditorsPick,isGoodReadsChoice,likedPercent,numRatings,pages,product_dimensions,publisher,ratingsByStars,ratings_count,seller_name,setting,soldBy,weight
Toshihiro Ono,"Pokemon Graphic Novel, Volume 1: The Electric Tale Of Pikachu!",,English,,Each volume collects an entire four-issue miniseries.,Pokemon Graphic Novel #1,,09/01/99,September 5th 1999,[],Paperback,"['Manga', 'Fiction', 'Comics', 'Graphic Novels', 'Fantasy', 'Childrens', 'Shonen', 'Adventure', 'Science Fiction', 'Video Games']",,0782009049937,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387714486l/160458.jpg,4.4,[],88.0,1.0,,160458.Pokemon_Graphic_Novel_Volume_1,,,,,95.0,1406.0,166,,VIZ Media LLC,"['898', '271', '166', '41', '30']",,,[],,
"Toshikazu Kawaguchi, Geoffrey Trousselot (Translator)",Before the Coffee Gets Cold,,English,,"
  What would you change if you could go back in time?
In a small back alley in Tokyo, there is a café which has been serving carefully brewed coffee for more than one hundred years. But this coffee shop offers its customers a unique experience: the chance to travel back in time.In Before the Coffee Gets Cold, we meet four visitors, each of whom is hoping to make use of the café’s time-travelling offer, in order to: confront the man who left them, receive a letter from their husband whose memory has been taken by early onset Alzheimer's, to see their sister one last time, and to meet the daughter they never got the chance to know.But the journey into the past does not come without risks: customers must sit in a particular seat, they cannot leave the café, and finally, they must return to the present before the coffee gets cold . . .Toshikazu Kawaguchi’s beautiful, moving story explores the age-old question: what would you change if you could travel back in time? More importantly, who would you want to meet, maybe for one last time?",Before the Coffee Gets Cold #1,,12/06/15,September 19th 2019,[],Paperback,"['Fiction', 'Fantasy', 'Magical Realism', 'Contemporary', 'Time Travel', 'Japan', 'Japanese Literature', 'Science Fiction', 'Adult', 'Asia']",,9781529029581,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1560955053l/44421460._SY475_.jpg,3.77,['本屋大賞 for 10th place (2017)'],170.0,2.0,,44421460-before-the-coffee-gets-cold,,,,,92.0,14385.0,213,,Picador,"['3351', '5829', '3993', '977', '235']",,,[],,
Toshio Nakamura,Glass House,,,Architecture,"The Glass House, designed by celebrated architect Philip Johnson as a personal retreat, is an icon of modern architecture. A crystalline box set in a serene New England landscape, the house is now owned by the National Trust for Historic Preservation, which will open it to visitors in April 2007. Johnson used his property near New Canaan, Connecticut, as an architectural laboratory, adding nine additional structures over a forty-year period. Among them are the Ghost House, a chain-link tribute to Frank Gehry, and the witty, bright red Gate House. Glass House is a unique presentation of the Glass House complex in words and photographs. Compiled by eminent critic Toshio Nakamura under the sponsorship of YKK AP Inc., the volume features a specially commissioned suite of photographs, taken throughout the four seasons, by renowned architectural photographer Michael Moran, including cross-processed images and images taken with infrared film. The deluxe graphic presentation, with distinctive paper stocks and foldout pages reproducing Johnson's original drawings, was conceived by designer Michael Rock of 2x4.",,,,2007.0,,,,1580931863,9781580931861,,http://books.google.com/books/content?id=SWbIPQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.0,,,,,,,,,,,,256.0,,,,14.0,,,,
Touko Kawai,CUT,,English,,"Chiaki Sakaguchi is a highly sociable and popular high school senior who has a dark secret in his heart. Chiaka is not at all acting like himself. In fact, he recently skipped his college entrance exams. Is Chiaka's classmate the only one who may be able to unveil the unholy perversion that has secretly crept into Chiaka's life?",,,01/01/03,April 7th 2009,[],Paperback,"['Manga', 'Yaoi', 'Romance', 'M M Romance', 'Boys Love', 'Drama', 'Shounen Ai', 'LGBT', 'Abuse', 'Graphic Novels']",,9781569700433,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1292812157l/5071325.jpg,4.04,[],97.0,1.0,,5071325-cut,,,,,90.0,956.0,200,,Digital Manga Publishing,"['430', '256', '178', '65', '27']",,,[],,
Touko Kawai,Café Latte Rhapsody,,English,,"A bookstore employee, Serizawa -- a short, comical, and adorable young man -- spots Keito -- a immensely tall and intense-eyed man -- in the store. It was a love at first sight for Serizawa! However, Serizawa realizes that Keito is extremely shy and meek. What's holding him back? Can Keito overcome his shyness and show his true feelings?",,,11/06/07,September 8th 2010,"['Hajime Serizawa', 'Keito Tsuda MacLeod']",Paperback,"['Manga', 'Romance', 'LGBT', 'Boys Love', 'Shounen Ai', 'Graphic Novels', 'M M Romance', 'Queer', 'Yaoi', 'Comics']",,9781569701843,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1304201154l/7631064.jpg,3.96,[],81.0,1.0,,7631064-caf-latte-rhapsody,,,,,92.0,631.0,184,,Digital Manga Publishing,"['242', '186', '150', '39', '14']",,,['Japan'],,
Toula Mavridou-Messer (Goodreads Author),Pocketful of Poesies,,English,,"Pocketful of Poesies is unlike any publication you have ever previously perused and that is quite a phenomenal pursuance. Pocketful of Poesies is a pick of perfectly plangent dark tales. An astonishing array of very short stories that take alliteration to a completely new level with absolutely EVERY word beginning with the same letter.This mind blowing volume of amazing alliteration, such as “Annie and Adam’s Adventure at Arthur’s Animal Aid Association,” “Betty Bets Billy ‘Bout Blowing Bigger Bubbles Better,” and “Colin Couldn’t Comprehend Chafing Cream” WILL blow your mind. The alphabet may have 26 letters but there is no rule that each word you use has to start with a different one each time and Toula Mavridou-Messer proves just that in Volume One of Pocketful of Poesies.",,,,August 12th 2014,[],Paperback,[],,9781499153668,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1410270420l/23174601.jpg,4.79,[],99.0,1.0,,23174601-pocketful-of-poesies,,,,,100.0,34.0,34,,CreateSpace,"['30', '1', '3', '0', '0']",,,[],,
"Toula Mavridou-Messer (Goodreads Author), Jimmy Messer (Illustrator)",Mortal End: A Simmering Pit of Jiggery Pokery,,English,,"Mortal End: A Simmering Pit of Jiggery Pokery is filled with mystery and humour, a tantalising sense of suspense, absurd darkness and larger than life characters, which is no doubt what captured this award-winning Hollywood producer's imagination.Synopsis:""A lightning storm sparks a fire deep in Phooka Wood.The following morning, Mortal End’s self righteous rector Ænus P. Wordsworth, his sidekick Savant Poe and a motley crew of villagers venture into the wood to see what damage has been done.To their amazed befuddlement, right in the centre of the seared earth is a giant mound of molten toffee and within it, a selection of human remains.Ænus P. Wordsworth takes it upon himself to find out who these bones belong to and how they came to be there. In doing so, he uncovers a horrific tale of murder, incest and cannibalism that spreads throughout the neighbouring villages that surround Phooka Wood.Their investigation takes them to all corners of their roundabout world; from Mortal End to the oozing Hamlet of Stifle and Little Napoo. Along their colourful journey, we are introduced to a larger than life cast from Doc Sheare the barber surgeon, Verrye Brutall the handsome woodsman, Beliala Bigswoln the publican’s daughter, Baron Rubigo Bluebeard and Umbra the Bogyman.Everyone seems to have a secret that they are trying to hide that could give clues to the horror of Phooka Wood. Even Ænus P. Wordsworth has something to hide!""Why does guilt hang heavy in this village like offal in a stew? What secret has the God-fearing Ænus P. Wordsworth kept so carefully? Where have all the children gone? These and many other questions will be answered when you read Mortal End.What readers are saying about Mortal End: A Simmering Pit of Jiggery Pokery:""It's a smidge of Dickens, shaken but not stirred with ""A League of Gentlemen"", sort of starcrossed with a bit of Neil Gaiman, plus a soupcon of Terry Pratchett. And totally and utterly your own!”“Mortal End is the funniest and most disturbing adult fairytale ever written.”""My imagination is being flooded with the most enormous canvas of human depravity… and I am finding that it fills me with delight.”""Despite it's subject matter it is light-hearted in it's delivery and the clever way the writer expresses herself is a joy to behold.""""Love the incredibly clever mind of Toula Mavridou-Messer. Excited to read her next book as well!”""Love the prose, the most colourful, creepy, characters in their deliciously rancid world.""""Toula's imagination knows no bounds. Her characters are original and fascinating and leap off the page. She is a smart writer with the ability to make a story exciting and mysterious and will take your breath away."" - LA WRITERS CENTERMortal End: A Simmering Pit Of Jiggery Pokery, the debut novel from Toula Mavridou-Messer, was written in the space of three weeks after two car crashes in just one hour. Even the rescue serviceman who came to collect her from the mangled wreckage was hesitant about transporting her, saying, ""Things happen in threes, don't they?""""It's a sign,"" thought Toula, as those crashes came during the return journey from a residential crime writing course she attended, given by best-selling author Val McDermid. She had been battling a major problem faced by so many would-be authors - that of actually finishing a project and then doing something with it.Facing death head on seems to have been the antidote, although not necessarily recommended as a remedy for all. Every time Toula was faced with either a blank page or the option of walking away from the type-writer, she remembered that she had been spared a fate worse than death...or in fact, death and that small fact kept her chained to her desk.Fortunately she saw the funny side and hopefully so will you when you read Mortal End: A Simmering Pit Of Jiggery Pokery, available from Amazon, Kindle and Barnes & Noble.",,,07/27/14,July 28th 2014,[],Kindle Edition,"['Mystery', 'Fantasy']",,B00M7JABLK,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1407025016l/22854779.jpg,4.29,[],100.0,1.0,,22854779-mortal-end,,,,,90.0,31.0,178,,100 Percent Publishing,"['21', '4', '3', '0', '3']",,,[],,
Tove Jansson,"Moomin: The Complete Tove Jansson Comic Strip, Vol. 1",,English,,"Moomin Book One is the first volume of Drawn & Quarterly’s publishing plan to reprint the entire strip drawn by Jansson before she handed over the reins to her brother Lars in 1960. This is the first time the strip will be published in any form in North America and will deservedly place Jansson among the international cartooning greats of the last century. The Moomins are a tight-knit family–hippo-shaped creatures with easygoing and adventurous outlooks. Jansson’s art is pared down and precise, yet able to compose beautiful portraits of ambling creatures in fields of flowers or on rock-strewn beaches that recall Jansson’s Nordic roots. The comic strip reached out to adults with its gentle and droll sense of humor. Whimsical but with biting undertones, Jansson’s observations of everyday life, including guests who overstay their welcome, modern art, movie stars, and high society, easily caught the attention of an international audience and still resonate today.",Moomin Comic Strip #1-4,,11/06/77,November 14th 2006,[],Hardcover,"['Comics', 'Graphic Novels', 'Fiction', 'Childrens', 'Fantasy', 'Graphic Novels Comics', 'Finnish Literature', 'Classics', 'Humor', 'Scandinavian Literature']",,9781894937801,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1312061277l/79548.jpg,4.35,[],81.0,2.0,,79548.Moomin,,,,,97.0,4332.0,95,,Drawn and Quarterly,"['2300', '1395', '528', '87', '22']",,,[],,
Tove Jansson,Die Mumins: Abenteuer im Mumintal,,German,,,Mumintrollen #1 & 2,,,2002,[],,[],,9783401053967,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1186205263l/1639512.jpg,4.39,[],96.0,1.0,,1639512.Die_Mumins,,,,,98.0,59.0,248,,Arena,"['31', '21', '6', '1', '0']",,,[],,
Tove Jansson,Meddelande: Noveller i urval 1971 - 1997,,Swedish,,"Meddelande innehåller ett urval av Tove Janssons noveller, från samlingen Lyssnerskan 1971 till Brev från Klara 1991.Tove Jansson har låtit den kronologiska följden ge plats åt en ny spännande sammanställning. I boken ingår dessutom åtta nya noveller. Flera av dem har självbiografisk förankring, som ""Mina älskade morbröder"" och barndomsbilden ""Båten och jag"". ""Att få en idé"" handlar om konstnärsskapets lust och förtvivlan, ett tema som återkommer i flera andra noveller i urvalet. Kriget är tidsbakgrund i den mångbottnade ""Brev till Konikova"", och ""Samtal med Samuel"" och ""Avslutningsdag"" speglar minnen från studietiden. Verkligheten bakom den avslutande novellen ""Meddelande"" kan man knappast heller missta sig på.",,,,1998,[],Hardcover,"['Short Stories', 'Fiction', 'Stories', 'Finnish Literature']",,9788364700729,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1311583525l/12134738.jpg,3.81,[],100.0,1.0,,12134738-meddelande,,,,,94.0,323.0,290,,Schildt,"['73', '136', '95', '18', '1']",,,[],,
